fips_code,data_centers,total_power_usage_kwh,total_carbon_emission_2023_tons
6013,['Lumen Sacramento 1'],[33566.97482],[47463.53325]
6019,"['Lumen Fresno 2', 'Lumen Fresno 1']","[33566.97482, 33566.97482]","[34643.58137, 34643.58137]"
6029,['Lumen Bakersfield 2'],[33566.97482],[34643.58137]
6037,"['Hostrunway Data Center', '2260 E El Segundo Blvd (LAX12)', 'Hivelocity - Los Angeles 2', 'Hivelocity - Los Angeles 1', 'West 7 Center', 'One Wilshire', 'Colocation America LADC3', 'Equinix LA2', 'Evocative LAX14', 'CoreSite One Wilshire (LA1)', 'Prime Los Angeles', 'Cogent Data Center - Los Angeles', 'Evocative LAX2', 'Colocation America LADC4', 'Cogent Data Center - Pasadena', 'CoreSite Los Angeles (LA2)', 'TELEHOUSE Los Angeles Center', 'Crown Castle Los Angeles LA1', 'Colocation America LADC5', 'Colocation America LADC2', 'UnitedLayer Los Angeles', 'DataBank LAX1 - LA One Wilshire', 'Serverfarm LAX1', 'Crown Castle Los Angeles LA2', 'QuadraNet Los Angeles', 'Centersquare - Los Angeles LAX1', 'Xfernet Data Center', '365 Data Centers - Los Angeles 1', 'Edge Centres EC101 Los Angeles', 'CoreSite Los Angeles (LA3)', 'Cogent Data Center - Burbank', 'Cogent Data Center - La Mirada', 'Colocation America LADC1', 'Crown Castle Los Angeles LA3', 'Aptum Los Angeles', 'Equinix LA3', '365 Data Centers - Los Angeles 3', '365 Data Centers - Los Angeles 2', 'Windstream Los Angeles', 'Key Info (Agoura Ct)', 'Lumen Los Angeles', 'Equinix LA1', 'China Telecom One Wilshire', 'Psychz LA Suite 100 & 200', 'Marina Towers', 'Downtown Colo Corporation', 'Lumen Los Angeles 4', 'DataBank - zColo - 707 Wilshire Blvd', 'LAX Data Center', 'Long Beach Data Center', 'NocRoom Los Angeles Colocation', 'Vernon Data Center', 'IHNetworks Datacenter (SFV1)', '611 Wilshire', '818 West 7th Street', 'Hostrunway Data Center', 'Downtown Data Center', 'Aon Center', 'Quinby Building', 'Downtown Colo Corporation', 'Vertex SSX', '2260 E El Segundo Blvd (LAX12)', 'Hivelocity - Los Angeles 2', 'Hivelocity - Los Angeles 1', 'West 7 Center', 'One Wilshire', 'Colocation America LADC3', 'Equinix LA2', 'Evocative LAX14', 'CoreSite One Wilshire (LA1)', 'Prime Los Angeles', 'Cogent Data Center - Los Angeles', 'Evocative LAX2', 'Colocation America LADC4', 'Cogent Data Center - Pasadena', 'CoreSite Los Angeles (LA2)', 'TELEHOUSE Los Angeles Center', 'Crown Castle Los Angeles LA1', 'Colocation America LADC5', 'Colocation America LADC2', 'UnitedLayer Los Angeles', 'DataBank LAX1 - LA One Wilshire', 'Serverfarm LAX1', 'Crown Castle Los Angeles LA2', 'QuadraNet Los Angeles', 'Centersquare - Los Angeles LAX1', 'Xfernet Data Center', '365 Data Centers - Los Angeles 1', 'Edge Centres EC101 Los Angeles', 'CoreSite Los Angeles (LA3)', 'Cogent Data Center - Burbank', 'Cogent Data Center - La Mirada', 'Colocation America LADC1', 'Crown Castle Los Angeles LA3', 'Aptum Los Angeles', 'Equinix LA3', '365 Data Centers - Los Angeles 3', '365 Data Centers - Los Angeles 2', 'Windstream Los Angeles', 'Key Info (Agoura Ct)', 'Lumen Los Angeles', 'Equinix LA1', 'China Telecom One Wilshire', 'Psychz LA Suite 100 & 200', 'Marina Towers', 'Downtown Colo Corporation', 'Lumen Los Angeles 4', 'DataBank - zColo - 707 Wilshire Blvd', 'LAX Data Center', 'Long Beach Data Center', 'NocRoom Los Angeles Colocation', 'Vernon Data Center', 'IHNetworks Datacenter (SFV1)', '611 Wilshire', '818 West 7th Street', 'Hostrunway Data Center', 'Downtown Data Center', 'Aon Center', 'Quinby Building', 'Downtown Colo Corporation', 'Vertex SSX', 'Cogent Data Center - Rialto', 'Lumen Tustin', '200 North Nash Street (LAX11)', 'Evocative LAX10', 'Centersquare Hawthorne', 'Provision Data Services', '9355 Grand Ave (ORD13)', '9377 Grand Ave (ORD14)', 'Dulles 28 Technology Park', 'STACK Infrastructure NVA04B', 'STACK Infrastructure NVA04C', 'STACK Infrastructure NVA04A', 'Netrality - 1102 Grand Ave', 'Orion Data Centers', 'US Signal Southfield', 'Nexcess Southfield Data Center', 'Verizon Detroit #2', ' I74 Wired Data Center', 'Lumen Reno 1', 'Charlotte Gateway Data Center', 'TierPoint Charlotte 3', 'LightEdge - Lenexa', 'Hostrunway Data Center', 'Hostrunway Data Center', 'Hostrunway Data Center']","[33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 78464.60072, 49338.91391, 49338.91391, 71566.85412, 71566.85412, 71566.85412, 71566.85412, 24309.0, 24309.0, 10305.88235, 10305.88235, 10305.88235, 15153.11538, 85417.675, 43814.36066, 43814.36066, 625.7142857, 33566.97482, 33566.97482, 33566.97482]","[47463.53325, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 143233.4815, 42351.41091, 686035.7989]"
6045,['Lumen Manchester 1'],[33566.97482],[47463.53325]
6057,['TWS Hosting'],[31776.44531],[47463.53325]
6059,"['Centersquare Irvine', 'Centersquare Irvine', 'DataBank SNA1 - Irvine', 'DataBank SNA2 - Irvine', 'Millennium Systems Inc', 'Aecero', 'Centersquare - Los Angeles LAX3', 'Cogent Data Center - Anaheim', 'Cogent Data Center - Anaheim 2', 'Orange County Internet Exchange', 'TPx Santa Ana Data Center', 'Lumen Anaheim 1', 'Data Canopy - Irvine', 'IC2NET Tustin Data Center', 'Cogent Data Center - Buffalo', 'Amazon AWS - New Carlisle', '1780 Business Center Drive (VA3)', 'Fusion Connect - Spokane', 'Lumen Ogden 1', 'DartPoints Asheville', 'Corserva Connecticut']","[33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 31776.44531, 49338.91391, 71566.85412, 58108.0, 94890.25926, 43814.36066, 4380.0]","[34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137]"
6061,"['Quest Roseville HABC', 'Tonaquint Oklahoma City Data Center']","[33566.97482, 51100.0]","[47463.53325, 47463.53325]"
6065,"['AISO Solar Powered Data Center', 'T5 Data Centers - T5@Charlotte']","[33566.97482, 43814.36066]","[34643.58137, 34643.58137]"
6067,"['NTT Sacramento CA2', 'NTT Sacramento CA1', 'NTT Sacramento CA3', 'Datacate Rancho Cordova', 'EdgeConneX Sacramento - EDCSAC01', '365 Data Centers - Rancho Cordova', 'QTS Sacramento', 'Quest McClellan BRC', 'Consolidated Citrus Heights', 'Consolidated McClellan', 'TPx Sacramento Data Center', 'Conscious Data Centers', 'Lumen Sacramento 2', 'Prime Data Centers', 'DataNOC.com']","[33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482]","[47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325]"
