ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-129,Donley County,Texas,34,-2.8,30,36.8
TX-131,Duval County,Texas,52.3,-2.6,34,54.9
TX-133,Eastland County,Texas,40.7,-2.4,28,43.1
TX-135,Ector County,Texas,39.7,-3.5,23,43.2
TX-137,Edwards County,Texas,45,-2,35,47
TX-139,Ellis County,Texas,42.7,-2.6,27,45.3
TX-141,El Paso County,Texas,40.3,-2.6,23,42.9
TX-143,Erath County,Texas,42.3,-1.4,38,43.7
TX-145,Falls County,Texas,44.1,-2.1,34,46.2
TX-147,Fannin County,Texas,39.4,-2.3,28,41.7
TX-149,Fayette County,Texas,48.4,-1.7,42,50.1
TX-151,Fisher County,Texas,39.3,-2.9,26,42.2
TX-153,Floyd County,Texas,34.6,-3.5,23,38.1
TX-155,Foard County,Texas,38.8,-1.3,37,40.1
TX-157,Fort Bend County,Texas,49.8,-2.3,34,52.1
TX-159,Franklin County,Texas,41.9,-1.4,39,43.3
TX-161,Freestone County,Texas,43.8,-2.4,28,46.2
TX-163,Frio County,Texas,48.8,-3,26,51.8
TX-165,Gaines County,Texas,36.6,-4.4,12,41
TX-167,Galveston County,Texas,49.6,-3.5,21,53.1
TX-169,Garza County,Texas,38,-3.4,20,41.4
TX-171,Gillespie County,Texas,44.1,-2.8,24,46.9
TX-173,Glasscock County,Texas,41.3,-1.9,33,43.2
TX-175,Goliad County,Texas,51.1,-2.2,37,53.3
TX-177,Gonzales County,Texas,48.8,-2.2,36,51
TX-179,Gray County,Texas,32.6,-2.6,31,35.2
TX-181,Grayson County,Texas,39.5,-2.2,31,41.7
TX-183,Gregg County,Texas,42.7,-3.2,23,45.9
TX-185,Grimes County,Texas,46.4,-2.6,27,49
TX-187,Guadalupe County,Texas,47.8,-2.7,29,50.5
TX-189,Hale County,Texas,33.9,-3.7,22,37.6
TX-191,Hall County,Texas,36,-2.7,27,38.7
TX-193,Hamilton County,Texas,42.5,-2.2,33,44.7
TX-195,Hansford County,Texas,31.4,-2.8,27,34.2
TX-197,Hardeman County,Texas,37.6,-1.5,38,39.1
TX-199,Hardin County,Texas,46.1,-4.2,19,50.3
TX-201,Harris County,Texas,49.1,-2.7,29,51.8
TX-203,Harrison County,Texas,42.6,-3.5,21,46.1
TX-205,Hartley County,Texas,30.2,-3.9,17,34.1
TX-207,Haskell County,Texas,39.5,-2.5,28,42
TX-209,Hays County,Texas,45.8,-2.9,25,48.7
TX-211,Hemphill County,Texas,32,-2.7,28,34.7
TX-213,Henderson County,Texas,42.2,-3.1,23,45.3
TX-215,Hidalgo County,Texas,57.2,-1.7,44,58.9
TX-217,Hill County,Texas,43.2,-2.3,33,45.5
TX-219,Hockley County,Texas,34.5,-4.1,17,38.6
TX-221,Hood County,Texas,42.7,-1.5,38,44.2
TX-223,Hopkins County,Texas,41.3,-1.7,35,43
TX-225,Houston County,Texas,44.6,-3.1,26,47.7
TX-227,Howard County,Texas,39.6,-3.7,21,43.3
TX-229,Hudspeth County,Texas,38.8,-3.1,16,41.9
TX-231,Hunt County,Texas,41.1,-1.3,38,42.4
TX-233,Hutchinson County,Texas,32.8,-2.6,30,35.4
TX-235,Irion County,Texas,42.9,-1.2,45,44.1
TX-237,Jack County,Texas,40.6,-1.2,38,41.8
TX-239,Jackson County,Texas,50.9,-1.8,38,52.7
TX-241,Jasper County,Texas,44.4,-4.8,17,49.2
TX-243,Jeff Davis County,Texas,40.8,-2.4,27,43.2
TX-245,Jefferson County,Texas,48.3,-3.5,24,51.8
TX-247,Jim Hogg County,Texas,55.5,-0.7,54,56.2
TX-249,Jim Wells County,Texas,52.9,-2.5,34,55.4
TX-251,Johnson County,Texas,42.8,-1.9,34,44.7
TX-253,Jones County,Texas,39.8,-2.9,25,42.7
TX-255,Karnes County,Texas,49.8,-2.6,31,52.4
TX-257,Kaufman County,Texas,42,-2.4,29,44.4
TX-259,Kendall County,Texas,45.3,-3,23,48.3
TX-261,Kenedy County,Texas,55.3,-2,40,57.3
TX-263,Kent County,Texas,38.1,-3.6,21,41.7
TX-265,Kerr County,Texas,44,-2.9,24,46.9
TX-267,Kimble County,Texas,43.5,-2.3,32,45.8
TX-269,King County,Texas,38.2,-2.8,24,41
TX-271,Kinney County,Texas,48.4,-1.9,39,50.3
TX-273,Kleberg County,Texas,54.1,-1.8,39,55.9
TX-275,Knox County,Texas,39.7,-1.4,36,41.1
TX-277,Lamar County,Texas,38.9,-3.2,21,42.1
TX-279,Lamb County,Texas,32.9,-4.4,17,37.3
TX-281,Lampasas County,Texas,43,-3,24,46
TX-283,La Salle County,Texas,50.2,-2.8,29,53
TX-285,Lavaca County,Texas,49.8,-1.5,46,51.3
TX-287,Lee County,Texas,46.8,-1.9,39,48.7
TX-289,Leon County,Texas,44.5,-2.7,31,47.2
TX-291,Liberty County,Texas,47.5,-3.6,23,51.1
TX-293,Limestone County,Texas,43.9,-2.2,30,46.1
TX-295,Lipscomb County,Texas,31.3,-2.4,32,33.7
TX-297,Live Oak County,Texas,51,-2.8,32,53.8
TX-299,Llano County,Texas,44.2,-2.6,24,46.8
TX-301,Loving County,Texas,40.3,-3.4,23,43.7
TX-303,Lubbock County,Texas,36.1,-2.7,31,38.8
TX-305,Lynn County,Texas,36.7,-3.7,21,40.4
TX-307,McCulloch County,Texas,42.9,-2.3,31,45.2
TX-309,McLennan County,Texas,43.6,-2.2,31,45.8
TX-311,McMullen County,Texas,50.8,-2.6,33,53.4
TX-313,Madison County,Texas,45,-3.2,25,48.2
TX-315,Marion County,Texas,42.2,-3.3,22,45.5
TX-317,Martin County,Texas,38.5,-4.3,18,42.8
TX-319,Mason County,Texas,43.8,-2.5,28,46.3
TX-321,Matagorda County,Texas,50.8,-2.5,31,53.3
TX-323,Maverick County,Texas,49.5,-2.3,34,51.8
TX-325,Medina County,Texas,47.3,-3.4,21,50.7
TX-327,Menard County,Texas,42.6,-2.2,30,44.8
TX-329,Midland County,Texas,39.9,-3.5,23,43.4
TX-331,Milam County,Texas,45.2,-1.9,35,47.1
TX-333,Mills County,Texas,42.4,-2.6,27,45
TX-335,Mitchell County,Texas,40.4,-2.6,27,43
TX-337,Montague County,Texas,39.1,-2,34,41.1
TX-339,Montgomery County,Texas,47.2,-2.9,27,50.1
TX-341,Moore County,Texas,31.8,-2.9,25,34.7
TX-343,Morris County,Texas,42.1,-1.9,35,44
TX-345,Motley County,Texas,36.2,-3.5,21,39.7
TX-347,Nacogdoches County,Texas,43.4,-4.2,21,47.6
TX-349,Navarro County,Texas,43.1,-2.5,29,45.6
TX-351,Newton County,Texas,44.9,-4.3,20,49.2
TX-353,Nolan County,Texas,40.5,-2.1,31,42.6
TX-355,Nueces County,Texas,53.8,-1.8,37,55.6
TX-357,Ochiltree County,Texas,31.7,-2.3,33,34
TX-359,Oldham County,Texas,31.6,-3.7,19,35.3
TX-361,Orange County,Texas,47.6,-3.5,24,51.1
TX-363,Palo Pinto County,Texas,41.8,-1.2,39,43
TX-365,Panola County,Texas,43.7,-3.2,25,46.9
TX-367,Parker County,Texas,41.8,-1.6,36,43.4
TX-369,Parmer County,Texas,32.1,-3.6,20,35.7
TX-371,Pecos County,Texas,42,-3,25,45
TX-373,Polk County,Texas,44.9,-4.4,18,49.3
TX-375,Potter County,Texas,32.5,-2.8,25,35.3
TX-377,Presidio County,Texas,44,-2.1,27,46.1
TX-379,Rains County,Texas,41.8,-1.4,39,43.2
TX-381,Randall County,Texas,32.3,-3.3,26,35.6
TX-383,Reagan County,Texas,42.5,-1.3,43,43.8
TX-385,Real County,Texas,44.9,-3,25,47.9
TX-387,Red River County,Texas,39.8,-2.4,29,42.2
TX-389,Reeves County,Texas,41.4,-3,25,44.4
TX-391,Refugio County,Texas,52.5,-1.7,40,54.2
TX-393,Roberts County,Texas,32.5,-2.4,32,34.9
TX-395,Robertson County,Texas,45.1,-2.2,35,47.3
TX-397,Rockwall County,Texas,41.5,-1.9,34,43.4
TX-399,Runnels County,Texas,42.5,-1.4,39,43.9
TX-401,Rusk County,Texas,43.3,-3.4,24,46.7
TX-403,Sabine County,Texas,43.2,-4.7,17,47.9
TX-405,San Augustine County,Texas,42.9,-5,17,47.9
TX-407,San Jacinto County,Texas,45.9,-3.7,23,49.6
TX-409,San Patricio County,Texas,53.2,-1.8,37,55
TX-411,San Saba County,Texas,43.2,-2.6,26,45.8
TX-413,Schleicher County,Texas,42.4,-2.1,32,44.5
TX-415,Scurry County,Texas,38.8,-3.3,23,42.1
TX-417,Shackelford County,Texas,40.3,-2.5,26,42.8
TX-419,Shelby County,Texas,43.6,-3.7,23,47.3
TX-421,Sherman County,Texas,30.4,-3.5,21,33.9
TX-423,Smith County,Texas,42.1,-3.2,22,45.3
TX-425,Somervell County,Texas,43,-1.7,36,44.7
TX-427,Starr County,Texas,57.5,-0.2,60,57.7
TX-429,Stephens County,Texas,40.6,-2,29,42.6
TX-431,Sterling County,Texas,42.3,-1.1,48,43.4
TX-433,Stonewall County,Texas,38.6,-3.3,22,41.9
TX-435,Sutton County,Texas,43.2,-2.1,33,45.3
TX-437,Swisher County,Texas,32.6,-4,20,36.6
TX-439,Tarrant County,Texas,42.3,-1.9,36,44.2
TX-441,Taylor County,Texas,40.9,-2.3,29,43.2
TX-443,Terrell County,Texas,43.8,-2.7,28,46.5
TX-445,Terry County,Texas,35.8,-4.2,17,40
TX-447,Throckmorton County,Texas,40.1,-1.9,31,42
TX-449,Titus County,Texas,42.1,-1.2,40,43.3
TX-451,Tom Green County,Texas,42.7,-1.9,35,44.6
TX-453,Travis County,Texas,45.4,-3,25,48.4
TX-455,Trinity County,Texas,44.6,-3.8,22,48.4
TX-457,Tyler County,Texas,44.4,-4.8,18,49.2
TX-459,Upshur County,Texas,42.3,-2.6,28,44.9
TX-461,Upton County,Texas,41.4,-3.2,23,44.6
TX-463,Uvalde County,Texas,47.2,-3.4,21,50.6
TX-465,Val Verde County,Texas,46.8,-1.4,41,48.2
TX-467,Van Zandt County,Texas,41.9,-2.2,31,44.1
TX-469,Victoria County,Texas,51.4,-1.6,41,53
TX-471,Walker County,Texas,45.2,-3.7,24,48.9
TX-473,Waller County,Texas,48.4,-2,35,50.4
TX-475,Ward County,Texas,40.7,-3.3,24,44
TX-477,Washington County,Texas,48.1,-1.3,45,49.4
TX-479,Webb County,Texas,51.7,-2.6,33,54.3
TX-481,Wharton County,Texas,50.2,-2,34,52.2
TX-483,Wheeler County,Texas,33.2,-2.6,30,35.8
TX-485,Wichita County,Texas,39,-1.2,41,40.2
TX-487,Wilbarger County,Texas,38.8,-1.1,43,39.9
TX-489,Willacy County,Texas,56.7,-2.1,40,58.8
TX-491,Williamson County,Texas,44.8,-2.7,28,47.5
TX-493,Wilson County,Texas,49.1,-2.5,32,51.6
TX-495,Winkler County,Texas,39.9,-3.2,24,43.1
TX-497,Wise County,Texas,40.6,-1.7,35,42.3
TX-499,Wood County,Texas,42.2,-1.7,38,43.9
TX-501,Yoakum County,Texas,35.1,-4.2,17,39.3
TX-503,Young County,Texas,40.6,-1.3,36,41.9
TX-505,Zapata County,Texas,56.4,0,61,56.4
TX-507,Zavala County,Texas,48.7,-3.3,24,52
UT-001,Beaver County,Utah,28.2,0.9,68,27.3
UT-003,Box Elder County,Utah,23.6,-0.2,53,23.8
UT-005,Cache County,Utah,21.6,0.3,63,21.3
UT-007,Carbon County,Utah,20.5,-0.4,48,20.9
UT-009,Daggett County,Utah,19.9,-0.1,53,20
UT-011,Davis County,Utah,26.5,0.3,60,26.2
UT-013,Duchesne County,Utah,18.9,0.3,55,18.6
UT-015,Emery County,Utah,24.7,0.1,51,24.6
UT-017,Garfield County,Utah,26.7,0.4,59,26.3
UT-019,Grand County,Utah,23.9,-0.4,51,24.3
UT-021,Iron County,Utah,28.9,1.3,70,27.6
UT-023,Juab County,Utah,26.6,-0.4,52,27
UT-025,Kane County,Utah,30.6,0.6,59,30
UT-027,Millard County,Utah,27.8,0.2,60,27.6
UT-029,Morgan County,Utah,21.6,-0.9,50,22.5
UT-031,Piute County,Utah,24.6,0.7,61,23.9
UT-033,Rich County,Utah,16.5,-1.6,48,18.1
UT-035,Salt Lake County,Utah,26.6,0.2,58,26.4
UT-037,San Juan County,Utah,28.7,0.1,60,28.6
UT-039,Sanpete County,Utah,22.7,-0.4,51,23.1
UT-041,Sevier County,Utah,23.9,-1.1,44,25
UT-043,Summit County,Utah,18,-1.5,40,19.5
UT-045,Tooele County,Utah,26.4,-0,56,26.4
UT-047,Uintah County,Utah,20.2,1.6,77,18.6
UT-049,Utah County,Utah,24.6,0.1,58,24.5
UT-051,Wasatch County,Utah,20,-0.8,48,20.8
UT-053,Washington County,Utah,36.1,0.9,70,35.2
UT-055,Wayne County,Utah,27,0.6,61,26.4
UT-057,Weber County,Utah,22.6,-0.5,53,23.1
VT-001,Addison County,Vermont,19,2.6,89,16.4
VT-003,Bennington County,Vermont,18.9,1.6,78,17.3
VT-005,Caledonia County,Vermont,14.4,1.3,78,13.1
VT-007,Chittenden County,Vermont,18.9,2.9,91,16
VT-009,Essex County,Vermont,13.1,1,72,12.1
VT-011,Franklin County,Vermont,16.9,2.3,86,14.6
VT-013,Grand Isle County,Vermont,18.3,2.5,86,15.8
VT-015,Lamoille County,Vermont,15.5,2.1,82,13.5
VT-017,Orange County,Vermont,17.2,2.3,84,14.9
VT-019,Orleans County,Vermont,13.8,1.2,73,12.6
VT-021,Rutland County,Vermont,19.2,2.6,90,16.7
VT-023,Washington County,Vermont,16.3,2.1,83,14.2
VT-025,Windham County,Vermont,19.2,0.9,72,18.3
VT-027,Windsor County,Vermont,18.9,2.3,88,16.6
VA-001,Accomack County,Virginia,34,-3.1,29,37.1
VA-003,Albemarle County,Virginia,32.5,-1.7,40,34.2
VA-005,Alleghany County,Virginia,26.7,-5.2,15,31.9
VA-007,Amelia County,Virginia,32.9,-3.9,21,36.8
VA-009,Amherst County,Virginia,30.3,-4,20,34.3
VA-011,Appomattox County,Virginia,31.3,-4.1,19,35.4
VA-013,Arlington County,Virginia,31.1,-2.6,34,33.7
VA-015,Augusta County,Virginia,28.2,-3.3,26,31.5
VA-017,Bath County,Virginia,25.1,-5.7,10,30.8
VA-019,Bedford County,Virginia,30.9,-4.4,19,35.3
VA-021,Bland County,Virginia,26.2,-5.6,12,31.8
VA-023,Botetourt County,Virginia,29.4,-4.9,17,34.3
VA-025,Brunswick County,Virginia,33.2,-4.5,18,37.7
VA-027,Buchanan County,Virginia,27.6,-6,15,33.6
VA-029,Buckingham County,Virginia,32.6,-3.2,29,35.8
VA-031,Campbell County,Virginia,30.8,-4.6,15,35.4
VA-033,Caroline County,Virginia,32,-3.4,25,35.4
VA-035,Carroll County,Virginia,28.8,-3.8,22,32.6
VA-036,Charles City County,Virginia,34.6,-4,23,38.6
VA-037,Charlotte County,Virginia,31.6,-4.5,16,36.1
VA-041,Chesterfield County,Virginia,33.4,-4,21,37.4
VA-043,Clarke County,Virginia,28.2,-2.6,32,30.8
VA-045,Craig County,Virginia,27.4,-4.8,20,32.2
VA-047,Culpeper County,Virginia,30.2,-3,33,33.2
VA-049,Cumberland County,Virginia,32.7,-3.5,27,36.2
VA-051,Dickenson County,Virginia,27.7,-6.1,15,33.8
VA-053,Dinwiddie County,Virginia,33.3,-4.3,18,37.6
VA-057,Essex County,Virginia,32.8,-3.5,28,36.3
VA-059,Fairfax County,Virginia,30.6,-2.6,33,33.2
VA-061,Fauquier County,Virginia,29.6,-2.4,37,32
VA-063,Floyd County,Virginia,27.5,-4.2,17,31.7
VA-065,Fluvanna County,Virginia,32.8,-2.6,35,35.4
VA-067,Franklin County,Virginia,31.4,-4,20,35.4
VA-069,Frederick County,Virginia,27.6,-2.5,33,30.1
VA-071,Giles County,Virginia,27.2,-4.6,21,31.8
VA-073,Gloucester County,Virginia,34.6,-3.7,25,38.3
VA-075,Goochland County,Virginia,32.3,-3.6,25,35.9
VA-077,Grayson County,Virginia,26.8,-4.5,21,31.3
VA-079,Greene County,Virginia,30.2,-2.3,37,32.5
VA-081,Greensville County,Virginia,33.9,-4.5,15,38.4
VA-083,Halifax County,Virginia,32.4,-4.3,18,36.7
VA-085,Hanover County,Virginia,32.3,-3.9,23,36.2
VA-087,Henrico County,Virginia,33.2,-4.1,21,37.3
VA-089,Henry County,Virginia,32.6,-4,18,36.6
VA-091,Highland County,Virginia,22.2,-5.9,13,28.1
VA-093,Isle of Wight County,Virginia,35.8,-3.7,25,39.5
VA-095,James City County,Virginia,34.8,-3.8,24,38.6
VA-097,King and Queen County,Virginia,33.1,-3.8,22,36.9
VA-099,King George County,Virginia,32.5,-2.7,34,35.2
VA-101,King William County,Virginia,32.9,-3.9,21,36.8
VA-103,Lancaster County,Virginia,33.4,-3.6,27,37
VA-105,Lee County,Virginia,29,-5.9,15,34.9
VA-107,Loudoun County,Virginia,28.9,-2.4,36,31.3
VA-109,Louisa County,Virginia,31.4,-3.4,25,34.8
VA-111,Lunenburg County,Virginia,32.4,-4.3,18,36.7
VA-113,Madison County,Virginia,29.3,-2.9,34,32.2
VA-115,Mathews County,Virginia,34.6,-3.6,25,38.2
VA-117,Mecklenburg County,Virginia,33.3,-4.1,22,37.4
VA-119,Middlesex County,Virginia,33.7,-3.7,26,37.4
VA-121,Montgomery County,Virginia,28.7,-4.4,17,33.1
VA-125,Nelson County,Virginia,31.4,-2.4,33,33.8
VA-127,New Kent County,Virginia,33.7,-4,22,37.7
VA-131,Northampton County,Virginia,35.2,-3.2,29,38.4
VA-133,Northumberland County,Virginia,32.8,-3.4,28,36.2
VA-135,Nottoway County,Virginia,32.6,-4.2,19,36.8
VA-137,Orange County,Virginia,30.8,-3.1,33,33.9
VA-139,Page County,Virginia,27.9,-2.8,33,30.7
VA-141,Patrick County,Virginia,30.6,-4.4,16,35
VA-143,Pittsylvania County,Virginia,32.6,-3.9,20,36.5
VA-145,Powhatan County,Virginia,32.7,-3.8,23,36.5
VA-147,Prince Edward County,Virginia,31.9,-4.3,19,36.2
VA-149,Prince George County,Virginia,34.5,-4.1,21,38.6
VA-153,Prince William County,Virginia,30.8,-2.4,37,33.2
VA-155,Pulaski County,Virginia,28.7,-4.2,23,32.9
VA-157,Rappahannock County,Virginia,28.5,-2.7,33,31.2
VA-159,Richmond County,Virginia,32.8,-3.4,29,36.2
VA-161,Roanoke County,Virginia,30.1,-4.3,18,34.4
VA-163,Rockbridge County,Virginia,28.2,-5,17,33.2
VA-165,Rockingham County,Virginia,27.8,-3.2,28,31
VA-167,Russell County,Virginia,27.3,-6.1,13,33.4
VA-169,Scott County,Virginia,29.5,-5.7,16,35.2
VA-171,Shenandoah County,Virginia,27.7,-3,28,30.7
VA-173,Smyth County,Virginia,26.4,-5.8,12,32.2
VA-175,Southampton County,Virginia,35,-4,23,39
VA-177,Spotsylvania County,Virginia,31,-3.2,29,34.2
VA-179,Stafford County,Virginia,31.4,-2.6,33,34
VA-181,Surry County,Virginia,35.1,-3.8,24,38.9
VA-183,Sussex County,Virginia,34.3,-4.2,20,38.5
VA-185,Tazewell County,Virginia,25.3,-6.3,11,31.6
VA-187,Warren County,Virginia,28.3,-2.5,34,30.8
VA-191,Washington County,Virginia,27.9,-6.2,11,34.1
VA-193,Westmoreland County,Virginia,32.6,-3.1,31,35.7
VA-195,Wise County,Virginia,27.1,-5.9,16,33
VA-197,Wythe County,Virginia,27.8,-4.6,22,32.4
VA-199,York County,Virginia,35.4,-3.6,25,39
VA-510,Alexandria City,Virginia,31.8,-2.4,36,34.2
VA-520,Bristol City,Virginia,29.5,-5.9,12,35.4
VA-530,Buena Vista City,Virginia,29.7,-4.7,17,34.4
VA-540,Charlottesville City,Virginia,33.3,-1.4,44,34.7
VA-550,Chesapeake City,Virginia,36.9,-3.2,31,40.1
VA-570,Colonial Heights City,Virginia,34.1,-4.1,20,38.2
VA-580,Covington City,Virginia,28.5,-5.2,17,33.7
VA-590,Danville City,Virginia,34.1,-3.7,24,37.8
VA-595,Emporia City,Virginia,33.8,-4.6,14,38.4
VA-600,Fairfax City,Virginia,30.1,-2.9,33,33
VA-610,Falls Church City,Virginia,30.3,-3,33,33.3
VA-620,Franklin City,Virginia,35.4,-3.9,24,39.3
VA-630,Fredericksburg City,Virginia,31.3,-2.9,31,34.2
VA-640,Galax City,Virginia,29.1,-3.7,23,32.8
VA-650,Hampton City,Virginia,36.5,-3.4,29,39.9
VA-660,Harrisonburg City,Virginia,29.6,-2.6,32,32.2
VA-670,Hopewell City,Virginia,34.5,-4.2,20,38.7
VA-680,Lynchburg City,Virginia,30.7,-4.5,16,35.2
VA-683,Manassas City,Virginia,30.6,-2.4,36,33
VA-685,Manassas Park City,Virginia,30.5,-2.5,35,33
VA-690,Martinsville City,Virginia,32.4,-4.2,18,36.6
VA-700,Newport News City,Virginia,36.1,-3.6,26,39.7
VA-710,Norfolk City,Virginia,37.4,-3.1,30,40.5
VA-720,Norton City,Virginia,27.1,-5.9,15,33
VA-730,Petersburg City,Virginia,34,-4.2,20,38.2
VA-735,Poquoson City,Virginia,36.2,-3.4,27,39.6
VA-740,Portsmouth City,Virginia,37.4,-3.3,30,40.7
VA-750,Radford City,Virginia,29,-4.3,20,33.3
VA-760,Richmond City,Virginia,33.1,-4.1,21,37.2
VA-770,Roanoke City,Virginia,31.6,-4.2,18,35.8
VA-775,Salem City,Virginia,31.3,-4.3,19,35.6
VA-790,Staunton City,Virginia,30.2,-2.3,36,32.5
VA-800,Suffolk City,Virginia,36.2,-3.6,27,39.8
VA-810,Virginia Beach City,Virginia,37.4,-3.1,31,40.5
VA-820,Waynesboro City,Virginia,31.2,-1.6,43,32.8
VA-830,Williamsburg City,Virginia,34.9,-3.7,24,38.6
VA-840,Winchester City,Virginia,27.9,-2.5,34,30.4
WA-001,Adams County,Washington,30.3,3.6,85,26.7
WA-003,Asotin County,Washington,30.2,2.3,75,27.9
WA-005,Benton County,Washington,32.9,2.6,75,30.3
WA-007,Chelan County,Washington,26.8,3.4,92,23.4
WA-009,Clallam County,Washington,36.9,0.7,63,36.2
WA-011,Clark County,Washington,39.6,2.7,89,36.9
WA-013,Columbia County,Washington,30,2,66,28
WA-015,Cowlitz County,Washington,38.7,2.9,94,35.8
WA-017,Douglas County,Washington,25.6,2.2,77,23.4
WA-019,Ferry County,Washington,23.5,3,84,20.5
WA-021,Franklin County,Washington,32,2.8,77,29.2
WA-023,Garfield County,Washington,30.7,2.4,69,28.3
WA-025,Grant County,Washington,30.2,4.3,97,25.9
WA-027,Grays Harbor County,Washington,38.2,0.2,54,38
WA-029,Island County,Washington,39.9,1.5,74,38.4
WA-031,Jefferson County,Washington,35.3,1.3,76,34
WA-033,King County,Washington,36.5,2.9,93,33.6
WA-035,Kitsap County,Washington,39.8,1.6,78,38.2
WA-037,Kittitas County,Washington,30.1,5.3,108,24.8
WA-039,Klickitat County,Washington,31.7,3,82,28.7
WA-041,Lewis County,Washington,36,2.4,88,33.6
WA-043,Lincoln County,Washington,27.6,3.5,93,24.1
WA-045,Mason County,Washington,37.1,1.3,77,35.8
WA-047,Okanogan County,Washington,23.7,2.7,81,21
WA-049,Pacific County,Washington,38.7,-0.4,44,39.1
WA-051,Pend Oreille County,Washington,24.1,2.8,80,21.3
WA-053,Pierce County,Washington,35.4,1.9,81,33.5
WA-055,San Juan County,Washington,41,2.5,93,38.5
WA-057,Skagit County,Washington,35,4,104,31
WA-059,Skamania County,Washington,34.1,3.8,101,30.3
WA-061,Snohomish County,Washington,35.3,3.3,96,32
WA-063,Spokane County,Washington,29.1,3.6,92,25.5
WA-065,Stevens County,Washington,25.2,2.9,79,22.3
WA-067,Thurston County,Washington,38,0.2,54,37.8
WA-069,Wahkiakum County,Washington,39.5,1.1,63,38.4
WA-071,Walla Walla County,Washington,32.9,2,67,30.9
WA-073,Whatcom County,Washington,33.1,4.2,106,28.9
WA-075,Whitman County,Washington,31,2.7,73,28.3
WA-077,Yakima County,Washington,30.8,4.3,98,26.5
WV-001,Barbour County,West Virginia,22.2,-7.6,9,29.8
WV-003,Berkeley County,West Virginia,27.3,-2.6,33,29.9
WV-005,Boone County,West Virginia,26.2,-7.1,11,33.3
WV-007,Braxton County,West Virginia,25.2,-6.7,10,31.9
WV-009,Brooke County,West Virginia,22.3,-5.9,18,28.2
WV-011,Cabell County,West Virginia,26.7,-6.6,12,33.3
WV-013,Calhoun County,West Virginia,25.5,-5.8,18,31.3
WV-015,Clay County,West Virginia,26.4,-6.2,13,32.6
WV-017,Doddridge County,West Virginia,23.1,-7.3,11,30.4
WV-019,Fayette County,West Virginia,24.9,-6.4,14,31.3
WV-021,Gilmer County,West Virginia,25.2,-6,16,31.2
WV-023,Grant County,West Virginia,23,-5.8,14,28.8
WV-025,Greenbrier County,West Virginia,23.5,-5.6,12,29.1
WV-027,Hampshire County,West Virginia,26.3,-3.4,29,29.7
WV-029,Hancock County,West Virginia,21.5,-6.2,16,27.7
WV-031,Hardy County,West Virginia,25.3,-4.1,21,29.4
WV-033,Harrison County,West Virginia,22.8,-7.6,8,30.4
WV-035,Jackson County,West Virginia,25.5,-6.5,12,32
WV-037,Jefferson County,West Virginia,27.7,-2.8,32,30.5
WV-039,Kanawha County,West Virginia,26.6,-6.7,13,33.3
WV-041,Lewis County,West Virginia,23.7,-7.5,8,31.2
WV-043,Lincoln County,West Virginia,27.1,-6.9,12,34
WV-045,Logan County,West Virginia,27.3,-6.7,12,34
WV-047,McDowell County,West Virginia,26.7,-6.5,11,33.2
WV-049,Marion County,West Virginia,22.4,-7.5,9,29.9
WV-051,Marshall County,West Virginia,21.7,-7.2,8,28.9
WV-053,Mason County,West Virginia,25.2,-7.1,9,32.3
WV-055,Mercer County,West Virginia,25.3,-6.6,10,31.9
WV-057,Mineral County,West Virginia,25.3,-4.7,19,30
WV-059,Mingo County,West Virginia,28.5,-6,15,34.5
WV-061,Monongalia County,West Virginia,22.2,-7.1,9,29.3
WV-063,Monroe County,West Virginia,26.4,-5,16,31.4
WV-065,Morgan County,West Virginia,27,-2.6,35,29.6
WV-067,Nicholas County,West Virginia,24,-6.4,11,30.4
WV-069,Ohio County,West Virginia,22,-6.3,15,28.3
WV-071,Pendleton County,West Virginia,22.2,-6.4,9,28.6
WV-073,Pleasants County,West Virginia,23.8,-6.2,15,30
WV-075,Pocahontas County,West Virginia,20,-6.5,10,26.5
WV-077,Preston County,West Virginia,20.5,-7,10,27.5
WV-079,Putnam County,West Virginia,26.1,-7,10,33.1
WV-081,Raleigh County,West Virginia,24.5,-6.8,11,31.3
WV-083,Randolph County,West Virginia,19,-7.7,8,26.7
WV-085,Ritchie County,West Virginia,24.3,-6.2,15,30.5
WV-087,Roane County,West Virginia,25.8,-6.2,14,32
WV-089,Summers County,West Virginia,25.9,-6,10,31.9
WV-091,Taylor County,West Virginia,22.9,-7.3,9,30.2
WV-093,Tucker County,West Virginia,19.4,-7,9,26.4
WV-095,Tyler County,West Virginia,23,-7,10,30
WV-097,Upshur County,West Virginia,22.1,-7.9,8,30
WV-099,Wayne County,West Virginia,27.7,-6.1,16,33.8
WV-101,Webster County,West Virginia,21.4,-7.7,6,29.1
WV-103,Wetzel County,West Virginia,21.9,-7.6,8,29.5
WV-105,Wirt County,West Virginia,25.1,-5.9,19,31
WV-107,Wood County,West Virginia,25,-5.8,21,30.8
WV-109,Wyoming County,West Virginia,25.9,-6.8,12,32.7
WI-001,Adams County,Wisconsin,15.8,2.2,76,13.6
WI-003,Ashland County,Wisconsin,10.8,2,76,8.8
WI-005,Barron County,Wisconsin,10.8,1.8,73,9
WI-007,Bayfield County,Wisconsin,10.6,2,75,8.6
WI-009,Brown County,Wisconsin,18.3,3.2,86,15.1
WI-011,Buffalo County,Wisconsin,14.5,1.9,73,12.6
