fips_code,BIRTHS_2023,DEATHS_2023,DOMESTIC_MIG_2023,GQ_ESTIMATES_2023,INTERNATIONAL_MIG_2023,NATURAL_CHG_2023,NET_MIG_2023,N_POP_CHG_2023,POP_ESTIMATE_2023,RESIDUAL_2023,R_BIRTH_2023,R_DEATH_2023,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2023,R_NET_MIG_2023,Rural_Urban_Continuum_Code_2023
41007,304,540,-334,509,27,-236,-307,-550,41102,-7,7.3,13.1,-8.1,0.7,-5.7,-7.4,4
41009,442,563,401,502,-6,-121,395,273,53880,-1,8.2,10.5,7.5,-0.1,-2.3,7.3,1
41011,507,1117,-111,1315,22,-610,-89,-711,64212,-12,7.9,17.3,-1.7,0.3,-9.4,-1.4,5
41013,244,326,657,157,0,-82,657,575,26952,0,9.2,12.2,24.6,0,-3.1,24.6,3
41015,144,469,21,178,-10,-325,11,-317,23296,-3,6.1,20,0.9,-0.4,-13.9,0.5,7
41017,1848,1729,1841,1699,48,119,1889,2030,208513,22,8.9,8.3,8.9,0.2,0.6,9.1,3
41019,951,1889,1078,1661,4,-938,1082,145,112435,1,8.5,16.8,9.6,0,-8.3,9.6,4
41021,18,36,38,25,-1,-18,37,18,2026,-1,8.9,17.8,18.8,-0.5,-8.9,18.3,9
41023,69,115,30,68,5,-46,35,-10,7215,1,9.6,15.9,4.2,0.7,-6.4,4.8,9
41025,78,109,-59,135,-2,-31,-61,-92,7440,0,10.4,14.6,-7.9,-0.3,-4.1,-8.1,9
41027,221,194,-313,374,-2,27,-315,-290,23745,-2,9.3,8.1,-13.1,-0.1,1.1,-13.2,6
41029,2083,2758,-216,3273,-9,-675,-225,-901,220768,-1,9.4,12.5,-1,0,-3.1,-1,3
41031,262,293,162,1095,-3,-31,159,130,25454,2,10.3,11.5,6.4,-0.1,-1.2,6.3,3
41033,802,1446,644,1502,23,-644,667,21,87821,-2,9.1,16.5,7.3,0.3,-7.3,7.6,3
41035,740,1009,93,1034,-12,-269,81,-187,70003,1,10.6,14.4,1.3,-0.2,-3.8,1.2,5
41037,81,145,-29,543,13,-64,-16,-80,8293,0,9.7,17.4,-3.5,1.6,-7.7,-1.9,9
41039,3033,4439,154,13194,255,-1406,409,-1000,381181,-3,7.9,11.6,0.4,0.7,-3.7,1.1,2
41041,356,765,442,567,32,-409,474,69,50821,4,7,15.1,8.7,0.6,-8.1,9.3,5
41043,1391,1576,1045,1418,10,-185,1055,874,131496,4,10.6,12,8,0.1,-1.4,8,3
41045,365,376,188,3190,11,-11,199,186,32044,-2,11.4,11.8,5.9,0.3,-0.3,6.2,6
41047,3847,3380,-712,10681,265,467,-447,22,346741,2,11.1,9.7,-2.1,0.8,1.3,-1.3,2
41049,139,126,-21,28,18,13,-3,10,12302,0,11.3,10.2,-1.7,1.5,1.1,-0.2,8
41051,7271,6731,-6518,22225,1158,540,-5360,-4865,789698,-45,9.2,8.5,-8.2,1.5,0.7,-6.8,1
41053,864,885,192,2084,43,-21,235,212,89805,-2,9.6,9.9,2.1,0.5,-0.2,2.6,2
41055,22,25,7,0,1,-3,8,4,1951,-1,11.3,12.8,3.6,0.5,-1.5,4.1,9
41057,209,419,107,402,-3,-210,104,-104,27417,2,7.6,15.3,3.9,-0.1,-7.6,3.8,7
41059,789,842,-185,4569,27,-53,-158,-208,80053,3,9.8,10.5,-2.3,0.3,-0.7,-2,4
41061,255,351,-132,359,7,-96,-125,-221,25944,0,9.8,13.5,-5.1,0.3,-3.7,-4.8,7
41063,60,115,80,61,0,-55,80,24,7674,-1,7.8,15,10.4,0,-7.2,10.4,9
41065,248,388,-80,669,0,-140,-80,-222,26333,-2,9.4,14.7,-3,0,-5.3,-3,7
41067,5973,4131,-4782,7231,1709,1842,-3073,-1221,598865,10,10,6.9,-8,2.9,3.1,-5.1,1
41069,7,21,14,9,0,-14,14,1,1436,1,4.9,14.6,9.8,0,-9.8,9.8,9
41071,1021,1156,296,5433,119,-135,415,282,108644,2,9.4,10.7,2.7,1.1,-1.2,3.8,1
42000,129489,140568,-24825,433964,25776,-11079,951,-10408,12961683,-280,10,10.8,-1.9,2,-0.9,0.1,
42001,953,1142,909,4805,76,-189,985,789,106748,-7,9,10.7,8.5,0.7,-1.8,9.3,3
42003,11896,13684,-8665,39263,2674,-1788,-5991,-7780,1224825,-1,9.7,11.1,-7.1,2.2,-1.5,-4.9,1
42005,526,977,-192,676,12,-451,-180,-630,64074,1,8.2,15.2,-3,0.2,-7,-2.8,1
42007,1463,2202,568,2877,63,-739,631,-106,165631,2,8.8,13.3,3.4,0.4,-4.5,3.8,1
42009,463,675,126,313,19,-212,145,-71,47350,-4,9.8,14.2,2.7,0.4,-4.5,3.1,8
42011,4567,4304,-103,13644,1086,263,983,1248,432821,2,10.6,10,-0.2,2.5,0.6,2.3,2
42013,1123,1685,46,4127,54,-562,100,-461,120273,1,9.3,14,0.4,0.4,-4.7,0.8,3
42015,622,788,-34,636,41,-166,7,-159,59695,0,10.4,13.2,-0.6,0.7,-2.8,0.1,6
42017,5821,6193,-52,8899,875,-372,823,427,645984,-24,9,9.6,-0.1,1.4,-0.6,1.3,1
42019,1615,2207,1530,7191,120,-592,1650,1045,198413,-13,8.2,11.2,7.7,0.6,-3,8.3,1
42021,1125,1876,-46,6200,41,-751,-5,-761,130668,-5,8.6,14.3,-0.4,0.3,-5.7,0,3
42023,27,80,27,26,1,-53,28,-26,4380,-1,6.1,18.2,6.1,0.2,-12.1,6.4,9
42025,583,911,267,824,25,-328,292,-35,65458,1,8.9,13.9,4.1,0.4,-5,4.5,2
42027,1088,1133,-528,19670,828,-45,300,262,157795,7,6.9,7.2,-3.3,5.3,-0.3,1.9,3
42029,5675,3971,279,15031,1163,1704,1442,3146,549784,0,10.4,7.2,0.5,2.1,3.1,2.6,1
42031,344,576,-48,2187,22,-232,-26,-257,36970,1,9.3,15.5,-1.3,0.6,-6.3,-0.7,6
42033,675,1142,-298,3828,28,-467,-270,-734,77090,3,8.7,14.7,-3.8,0.4,-6,-3.5,4
42035,349,472,-56,1811,10,-123,-46,-169,37607,0,9.3,12.5,-1.5,0.3,-3.3,-1.2,6
42037,542,821,403,4044,28,-279,431,150,65439,-2,8.3,12.6,6.2,0.4,-4.3,6.6,4
42039,870,1141,-152,3203,18,-271,-134,-404,82001,1,10.6,13.9,-1.8,0.2,-3.3,-1.6,4
42041,2508,2504,1773,14200,451,4,2224,2206,270738,-22,9.3,9.3,6.6,1.7,0,8.2,2
42043,3081,2887,-482,6882,823,194,341,547,289234,12,10.7,10,-1.7,2.8,0.7,1.2,2
42045,6383,5362,-1788,23036,1585,1021,-203,847,576720,29,11.1,9.3,-3.1,2.8,1.8,-0.4,1
42047,259,445,-81,296,-2,-186,-83,-269,30198,0,8.5,14.7,-2.7,-0.1,-6.1,-2.7,7
42049,2738,3050,-1332,13506,366,-312,-966,-1269,267571,9,10.2,11.4,-5,1.4,-1.2,-3.6,2
42051,723,2112,-148,3746,84,-1389,-64,-1453,123915,0,5.8,16.9,-1.2,0.7,-11.1,-0.5,1
42053,23,117,-62,2448,2,-94,-60,-154,6449,0,3.5,17.9,-9.5,0.3,-14.4,-9.2,9
42055,1718,1855,818,1620,226,-137,1044,903,157854,-4,10.9,11.8,5.2,1.4,-0.9,6.6,3
42057,135,231,6,130,4,-96,10,-86,14468,0,9.3,15.9,0.4,0.3,-6.6,0.7,8
42059,158,507,181,2784,-4,-349,177,-172,34357,0,4.6,14.7,5.3,-0.1,-10.1,5.1,6
42061,417,567,355,4788,10,-150,365,217,43514,2,9.6,13.1,8.2,0.2,-3.5,8.4,6
42063,733,1038,256,6031,78,-305,334,30,83094,1,8.8,12.5,3.1,0.9,-3.7,4,4
42065,445,617,50,614,3,-172,53,-119,43612,0,10.2,14.1,1.1,0.1,-3.9,1.2,7
42067,263,342,12,268,29,-79,41,-38,23243,0,11.3,14.7,0.5,1.2,-3.4,1.8,8
42069,2093,2675,565,8470,403,-582,968,373,216123,-13,9.7,12.4,2.6,1.9,-2.7,4.5,2
42071,6887,5280,-556,15743,871,1607,315,1929,558589,7,12.4,9.5,-1,1.6,2.9,0.6,2
42073,766,1313,200,2043,7,-547,207,-340,84472,0,9,15.5,2.4,0.1,-6.5,2.4,1
42075,1578,1707,250,3350,226,-129,476,350,144252,3,11,11.8,1.7,1.6,-0.9,3.3,3
42077,3940,3605,-616,7725,1745,335,1129,1480,377754,16,10.5,9.6,-1.6,4.6,0.9,3,2
42079,3191,4124,914,11011,930,-933,1844,892,327388,-19,9.8,12.6,2.8,2.8,-2.9,5.6,2
42081,934,1436,89,5138,100,-502,189,-310,112724,3,8.3,12.7,0.8,0.9,-4.4,1.7,3
42083,324,592,-44,2861,12,-268,-32,-300,39519,0,8.2,14.9,-1.1,0.3,-6.8,-0.8,7
42085,1014,1654,7,5906,0,-640,7,-634,108503,-1,9.3,15.2,0.1,0,-5.9,0.1,4
42087,535,622,17,636,7,-87,24,-62,45922,1,11.6,13.5,0.4,0.2,-1.9,0.5,4
42089,1338,1702,-1165,2984,120,-364,-1045,-1398,166053,11,8,10.2,-7,0.7,-2.2,-6.3,4
42091,8700,7570,880,23659,1703,1130,2583,3698,868742,-15,10,8.7,1,2,1.3,3,1
42093,180,237,-175,674,40,-57,-135,-194,17860,-2,10,13.2,-9.7,2.2,-3.2,-7.5,6
42095,2787,3201,1019,15032,599,-414,1618,1191,319091,-13,8.8,10.1,3.2,1.9,-1.3,5.1,2
42097,874,1233,327,3313,29,-359,356,-3,90120,0,9.7,13.7,3.6,0.3,-4,4,4
42099,433,544,35,509,45,-111,80,-30,46083,1,9.4,11.8,0.8,1,-2.4,1.7,2
42101,19208,14689,-27667,57609,7038,4519,-20629,-16294,1550542,-184,12.3,9.4,-17.8,4.5,2.9,-13.2,1
42103,420,649,857,463,48,-229,905,671,61247,-5,6.9,10.7,14.1,0.8,-3.8,14.9,6
42105,167,289,-83,213,0,-122,-83,-207,15999,-2,10.4,17.9,-5.2,0,-7.6,-5.2,9
42107,1187,1936,1268,6813,95,-749,1363,598,143786,-16,8.3,13.5,8.8,0.7,-5.2,9.5,4
42109,406,421,207,2362,19,-15,226,211,39717,0,10.2,10.6,5.2,0.5,-0.4,5.7,7
42111,576,1086,72,4210,5,-510,77,-432,72197,1,8,15,1,0.1,-7,1.1,6
42113,37,131,70,298,11,-94,81,-11,5834,2,6.3,22.4,12,1.9,-16.1,13.9,8
42115,360,543,144,319,11,-183,155,-30,38109,-2,9.4,14.2,3.8,0.3,-4.8,4.1,8
42117,373,566,63,1520,3,-193,66,-127,40840,0,9.1,13.8,1.5,0.1,-4.7,1.6,8
42119,345,457,-579,7112,37,-112,-542,-648,42042,6,8.1,10.8,-13.7,0.9,-2.6,-12.8,6
42121,459,805,39,875,8,-346,47,-303,49431,-4,9.3,16.2,0.8,0.2,-7,0.9,4
42123,354,637,27,821,11,-283,38,-246,37572,-1,9.4,16.9,0.7,0.3,-7.5,1,6
42125,1867,2664,996,4629,103,-797,1099,292,210232,-10,8.9,12.7,4.7,0.5,-3.8,5.2,1
42127,396,774,552,3130,2,-378,554,178,51262,2,7.7,15.1,10.8,0,-7.4,10.8,6
