fips_code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
18089,1,1,1,1,38222,50307,64109,84885,17705,29309,95932,119450,114913,115681,118017,118149,144211,106435,79181,59871,43391,33335,6.3,10.1,7.8,12.1,22.2,27.2,30.64515137,30.67503915,38.5,37.3,36.29460826,34.65206858,26.5,19.3,13.34434316,9.776864013,12.8,16.2,19.71589721,24.89602825,34.3,41.1,51.5,36.7,21954,35200,66236,84361,99647,104589
18091,3,2,3,4,8234,10312,12845,17189,3751,6744,19952,26656,28716,30234,30445,31110,29499,23078,18291,14314,10403,7527,6.5,10.6,7.6,11.1,21.2,25.6,29.87448901,29.49660276,41,41,39.76256089,39.2892324,26.1,19.4,13.58679327,9.505948322,11.7,14,16.77615683,21.70821651,34.6,42,51.2,36.3,4382,7062,14861,18863,22874,23356
18093,6,5,6,5,2629,3344,4140,6555,1044,1723,7344,11188,12413,14449,13847,12306,12138,10791,8483,7057,5433,3090,4.8,6.7,4.7,7.3,16,20.3,26.8125,31.4545341,44.3,46.3,43.271875,38.42742943,30.3,22.6,16.978125,9.64901324,9.4,10.7,12.9375,20.46902323,34.1,43.8,56.4,42.2,1009,1853,4480,6325,8580,10073
18095,1,1,1,1,9951,12870,15192,18433,4916,8421,27412,35915,34954,35800,36437,36250,35896,28805,22537,17781,11573,8751,6.7,10.4,7.6,9.9,20.5,25.7,29.11077213,30.99974982,41.2,40,40.86881421,39.43088989,26.5,19.9,12.98061824,9.518888756,11.7,14.4,17.03979541,20.05047154,37.1,44.2,48.6,35.5,5587,8048,17444,23007,25954,28499
18097,1,1,1,1,109617,140550,161100,216864,47931,72588,139866,163470,158958,163991,171059,172358,187324,144440,118600,101596,90990,78327,11.4,16.3,10.6,14.3,24.3,26.6,27.57398374,26.56556027,31.1,29.6,29.2783911,27.07098756,23.2,18.4,15.57381258,12.30223861,21.4,25.4,27.57381258,34.06121356,33.3,36.8,44.6,32.5,44453,63558,124134,147322,161101,169140
18099,6,5,6,5,3251,4259,4872,6342,1467,2374,7737,10407,11253,11724,12805,11818,8521,7479,6901,5773,4847,4305,7.6,10.4,7.6,11,19.3,23.8,26.70354702,27.56263502,42.4,41.1,41.66937846,38.10660046,26,20.2,15.7728604,13.88127559,12.3,14.9,15.85421412,20.44948892,40.3,45.7,44.4,32.9,1455,2506,5106,6799,8206,8548
18101,7,9,9,9,568,625,795,902,246,460,1828,2701,2633,2989,2950,2790,3301,2615,2358,1822,1260,774,4.3,7.3,5,7.9,16.1,23.1,29.29792344,34.86947645,39.7,42.3,41.67255262,40.68834767,35.6,25.8,17.79912417,11.28773516,8.6,8.8,11.23039977,13.15444072,32.3,43.1,58.3,41.7,284,498,1066,1630,2074,2391
18103,6,5,6,5,2184,2462,2498,4053,999,1709,8664,10976,10070,10968,11047,10282,8804,6530,5306,4308,4312,3156,5,7.8,8,12.3,22,25.3,29.30720507,30.46433967,44.7,46.2,43.73317498,40.87620259,23.6,18.1,17.07046714,12.54671225,9.7,10.4,9.889152811,16.11274549,43.1,50.1,43.8,29.8,1616,2690,4949,6003,7403,7663
18105,3,2,3,4,18885,25952,32765,40821,9979,15030,9824,14285,15970,17140,17543,17806,12439,12136,10267,7537,6208,4299,27.4,31.3,11.4,13.7,21.3,22.7,25.26612274,24.28041972,27.8,26.2,23.19796887,21.42616481,17.9,11.5,8.209142721,5.173036196,32.9,39.6,43.32676567,49.12037928,27,29.7,34.2,25.3,4129,6573,12246,14860,19107,20178
18107,6,3,6,2,2832,3595,4460,5076,1543,2284,8621,10543,10484,11502,11285,10673,7090,5938,4424,3504,3379,2873,8.2,10.9,7.8,10.6,20,24.1,24.65823583,28.32178599,47.3,46.9,44.45888981,41.08160123,20,14.3,13.31205925,11.05850654,12.8,14.7,17.57081511,19.53810624,46,50.3,37.9,28.3,1468,2214,4434,5900,6259,7358
18109,1,1,1,1,3497,5458,7250,10394,1258,2762,8532,13362,15375,19519,18824,19946,11186,10247,9271,8396,5936,4833,5.6,9.5,6.3,9.7,19.8,23.1,31.25590585,30.42076319,43.8,45,40.42608023,39.45718186,26.4,19.3,12.7480457,9.560641728,10,12.6,15.56996822,20.56141323,38.1,45.7,50,35.1,1416,2846,6946,10024,14554,15378
18111,1,1,1,1,696,920,863,1363,250,694,2700,3882,3997,4771,4900,4802,2953,2963,2361,2040,1297,1161,3.9,8.3,8,10.3,17.7,19.3,28.25932324,26.53429603,46.7,49.8,49.79168784,48.15483353,27.6,21.3,13.17955492,11.64259928,8.1,9.6,8.769434001,13.66827116,42.1,46.2,46,35.2,514,870,1513,1845,2781,2646
18113,6,5,6,5,1860,3164,3890,5682,876,1474,6724,9008,10240,12467,12754,12605,7813,7333,6463,6468,5378,5551,5.3,7.4,7.6,11.1,19.8,22.6,28.40702211,25.41534996,44.2,43.7,41.46293888,39.4386909,27.9,22.7,17.48374512,17.3680423,8,11.1,12.64629389,17.77791684,40.3,44.9,46.8,36.6,1271,2234,4588,6455,8738,8123
18115,1,1,1,1,208,439,573,834,92,239,863,1252,1608,1688,2089,1889,1340,1385,1116,817,628,287,3.8,7.9,4.5,4.9,15.2,22.1,24.64498397,31.59090909,46.5,44.7,47.84699954,42.93181818,32.3,21.6,14.3838754,6.522727273,6,11.6,13.12414109,18.95454545,35.9,41.4,55.7,45.8,109,149,525,836,1076,1390
18117,6,4,8,3,720,1305,1770,2091,489,781,3128,4477,5164,5804,5723,5932,5497,5112,4174,3354,2730,1961,5.1,7,4.7,7.1,15.5,18.4,23.30832708,27.45240517,43.4,45.3,42.93323331,43.10419997,35.1,26.2,20.48012003,14.24938236,6,10.2,13.27831958,15.1940125,32.7,40.1,57.5,45.8,452,796,1844,2355,3107,3778
18119,3,2,3,4,794,1319,1497,2658,218,668,2479,3921,4852,6244,6907,6750,3957,4048,3761,3617,2715,2027,3.1,7,4.8,9,15.6,22.3,25.30565632,26.88618926,43.5,43.4,46.39930136,43.15856777,33.7,25.1,18.23861346,12.96035806,7.1,9.2,10.05642886,16.99488491,35.5,41.3,56.6,42.7,336,851,1744,3204,3767,4205
18121,6,4,8,6,1034,1377,1738,1640,526,814,3533,5030,4939,5425,4727,4582,3933,3275,2377,2314,2186,1839,6.1,8.1,6.7,8.7,18.3,23.3,28.61622246,30.14126007,48.3,45.6,39.00486839,39.70881359,23.3,19.5,18.0377919,15.93725626,10.1,11.6,14.34111725,14.21267008,41.2,50.4,45.9,32.8,577,870,1867,2775,3468,3478
18123,6,6,7,8,830,1222,1392,2270,480,704,2909,4294,5280,5790,6329,6377,6205,5389,4251,3215,2459,1213,4.7,6.3,5.1,7.5,15.6,19.7,25.45947133,28.41065853,43,45.5,46.34253496,46.30073332,34.6,25.2,18.00541847,8.807086328,6.8,9.6,10.19257524,16.48152182,28.8,38.2,61.4,48,512,844,1910,2507,3477,3913
18125,8,5,8,6,711,739,893,1348,374,525,2379,3501,3427,3979,4427,4121,4314,3606,2895,2138,1405,837,5,6.3,5.1,8.2,16.1,21.7,25.46824781,26.44348536,40.9,45.5,49.06350438,48.06952059,34.5,24.4,15.57131774,9.763210078,8.5,8.4,9.896930068,15.72378397,32,42.1,57.9,43.4,379,686,1354,1897,2298,2267
18127,1,1,1,1,14760,21341,27691,36473,4545,9548,16622,29631,31451,35910,38769,41408,16677,16517,14008,11090,9068,7506,10.8,14.7,10.3,14.1,24.4,27.7,31.1322045,29.57773196,39.5,38,35.35027491,34.15092784,17.6,11.7,8.268366296,6.190515464,18.5,22.6,25.24915429,30.08082474,39.4,45.7,39.5,25.5,4336,9147,19406,26121,34143,35863
18129,2,2,2,4,1823,2609,3450,4530,561,1469,4394,6511,7305,7393,7078,6320,6105,5429,3914,2748,1620,1207,4.7,9.7,7.2,11.3,21,27.8,31.11426141,32.72514228,44.2,41.8,40.136093,35.26392144,23.7,15.6,9.186277289,6.734739426,11,14.8,19.5633683,25.27619685,36.9,43.1,51.2,35.9,858,1715,3471,4921,5487,5865
