fips_code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
0,,,,,32310253,44462605,58205022,79954302,11717266,21558480,34158051,45947035,47642763,52168981,57706852,59836489,52373312,44535197,39343718,35715625,29179819,24230217,10.7,16.2,10.6,15.7,24.9,27.4,28.99357875,28.1978456,30,28.6,28.24115535,26.19413741,24.8,19.6,14.28031114,10.60706676,20.3,24.4,28.48495476,35.00095023,31.1,34.6,47.7,33.5,11650730,20794975,39571702,49864428,59244324,64413653
1000,,,,,399228,549608,705001,957081,141936,270063,468269,704207,749591,877216,991406,1046374,1062306,964840,843638,714081,551030,409381,7.8,12.2,7.5,12.5,21.7,25.9,29.02286617,30.02828639,29.4,30.4,31.30995723,30.34461599,33.1,24.7,17.40228093,11.87195901,15.7,19,22.26489567,27.75513862,25.9,31.8,58.7,43.5,136287,278205,553512,746495,918987,1035466
10000,,,,,91722,128917,172084,250626,37630,60206,91211,124798,140030,161760,190866,206192,130463,108063,96472,89536,74349,61144,13.1,17.5,9.8,15,23.4,26.1,27.51922245,27.09299281,32.7,31.4,31.63537097,29.02305888,22.5,17.4,12.32308633,8.606473153,21.4,25,28.52232025,35.27747515,31.7,36.2,45.4,31.4,28091,51590,100275,134445,166032,192480
10001,3,2,3,4,10152,14769,21371,33311,3803,6708,13141,20718,22967,26100,35266,41922,18865,18471,18185,16312,15773,12215,9.6,12.6,9.4,14,24.2,27.8,30.6908896,29.80687419,33.9,32.9,33.75576699,33.65012602,26.9,20.6,15.09753623,9.804787208,15,18.6,20.45580719,26.73821258,33.3,38.8,47.7,34.6,3712,7463,16412,22068,32064,37134
10003,1,1,1,1,71585,95774,119313,156313,30764,47542,65241,82914,88345,96294,102958,108893,86082,63865,54957,47245,38328,29527,15.1,20.6,10.4,16,24.3,26.3,26.81036904,26.04737757,31.1,29.6,28.91591305,27.3227732,19.4,14.5,10.7644779,7.408736322,25.2,29.5,33.50924002,39.2211129,32.1,35.9,42.4,27.6,21048,36957,68922,85497,95461,103810
10005,2,2,4,5,9985,18374,31400,61002,3063,5956,12829,21166,28718,39366,52642,55377,25516,25727,23330,25979,20248,19402,6.8,9.9,7.4,11.9,19.4,24.3,26.96625279,27.51271908,37.3,35.6,36.86492013,29.56325374,30.3,23.5,14.1795696,10.35784259,13,16.6,21.98925748,32.5661846,28.7,35.3,57,42.9,3331,7170,14941,26880,38507,51536
1001,2,2,2,4,3026,4972,7629,11530,767,2117,3757,6145,6671,9332,11874,13321,6611,7074,6252,5872,5232,3963,6.4,12.1,7.7,12.1,23.5,26.9,29.6181425,29.32028356,32,33.8,33.78670612,32.67593887,30,21.3,14.88732074,9.721097947,14.5,18,21.70783064,28.28267962,31.1,35.2,54.8,40.6,933,2104,4912,7413,10409,11953
1003,3,2,3,4,10870,22146,35307,56408,2038,5498,8426,15380,20544,28428,36675,47369,18726,18125,17309,17258,14792,14221,6.5,12.1,7.4,14.5,24.6,29.3,31.81950326,31.391725,31.8,29.6,28.81646251,27.54203782,26.8,18,11.62244345,8.268600135,16.8,23.1,27.74159078,32.79763704,26.7,33.7,59.4,39.7,2334,6602,15900,28178,40497,53990
1005,6,6,6,5,1857,2068,2757,2021,861,1300,2242,3671,4258,6124,6320,6629,8120,7759,6965,6679,5013,3911,7.3,9.2,4.9,9.7,16.7,21.3,25.7717838,28.74404357,27.1,32.4,33.29470024,37.60494668,44.4,35.3,26.4092298,22.18629453,11.8,10.9,14.52428617,11.46471523,19,26.1,68.8,55.1,581,1362,2622,4025,4892,5067
1007,1,1,1,1,476,962,1396,1827,302,433,1402,2611,3407,4838,6457,6552,5272,5254,4850,4984,3702,3132,4.2,4.9,3.3,6.1,13.2,20.4,25.5380848,27.7446488,33.8,35.7,41.60974352,41.12736175,48.2,36.8,23.85616703,19.65978281,4.7,7.1,8.99600464,11.46820664,19.4,29.6,73.1,59.5,238,536,1332,2756,3963,4420
1009,1,1,1,1,1773,3235,4792,6386,404,1144,3440,7011,8763,12136,13994,14600,10677,11666,9960,9960,9419,7093,2.7,5.3,4.1,8.4,18.8,24.8,27.12451231,31.49959747,34.7,36,36.15740382,35.61757459,39.5,29.6,24.33661473,17.30379839,7,9.6,12.38146914,15.57902954,22.7,32.4,70.5,53.9,626,1819,4745,8371,10498,12912
1011,6,6,8,6,676,586,900,664,314,516,958,1324,1669,2667,2729,2994,4245,3473,3428,2992,2249,1915,5.4,8.8,5.2,9.8,14.2,17.5,22.40264026,24.46462456,24.8,35.2,36.02640264,40.58010301,51,39.5,29.68976898,25.95554351,10,7.7,11.88118812,8.999728924,16.5,22.5,72.9,59,305,574,954,1325,1697,1805
1013,6,6,6,6,1083,1433,1812,1812,541,1029,2459,3635,3927,4749,5463,6182,8353,6929,6374,4439,3341,1633,4.6,8.2,4.2,8.1,15.6,22.9,24.6076273,26.86873291,29.1,34.5,38.79696044,46.96140991,47.2,32.2,23.72700802,12.40504406,8,10.4,12.86840423,13.76481313,20.7,28.8,70.5,55,499,1016,2106,3146,3465,3537
1015,3,2,3,4,10266,11265,12544,16154,3921,7213,13804,21411,21711,23856,26224,27117,30535,28268,23633,19318,16603,10940,7.5,11,7.3,12.9,23.2,26.4,29.28623424,31.05294619,30,32.2,33.49041544,34.48815292,32.6,26.1,21.20352988,13.91379552,14.2,15.2,16.01982044,20.54510537,26.5,32.8,58.6,43.3,3823,8449,16835,19576,22932,24416
1017,6,5,6,5,2101,2339,2604,3571,847,1710,4816,6544,6749,7863,8277,9415,13616,12616,10833,8778,6194,4010,4.2,7.4,4.6,9.7,16.9,22.5,27.71262859,30.58323803,28.5,32.1,35.04085348,38.45368404,45.7,35.8,26.22242919,16.3780428,8.9,9.5,11.02408873,14.58503512,23.8,28.3,67.4,54.6,927,2238,3998,5517,6546,7488
1019,6,6,8,6,866,1636,2429,2994,329,712,1878,3158,4092,5865,6206,7015,6126,6372,6030,6138,4241,3029,3.8,6.3,5,8.8,15.2,18.9,30.41128466,30.56398786,31.6,34.9,33.54050694,37.3595356,46.5,36.5,22.92060747,16.1314374,6.7,9.7,13.12760093,15.94503914,21.4,28.1,69.8,56.8,440,985,1966,3186,5627,5739
1021,1,1,1,1,1550,2574,3608,4688,415,1158,2805,5578,6770,9264,11356,12680,10285,9678,9023,8757,7023,4862,3,6.5,3.8,8.5,16.5,20.5,24.03869407,27.70026344,32.6,35.8,39.23302816,41.23979575,43.4,33.8,24.2632579,15.81292484,7.5,9.9,12.46501987,15.24701597,20,31.1,73.2,54,538,1518,3438,5307,6958,8517
1023,9,10,9,9,836,1013,1148,1252,362,640,1922,2695,3070,3670,3683,3642,5720,5095,4482,3704,2488,1420,4.3,7,4.5,8.4,14.5,20.6,23.89518561,29.82885086,31.3,34.7,38.29676614,40.47566126,45.7,35,25.8708537,15.78128473,8.5,9.6,11.93719455,13.91420316,22.9,29.3,68.2,55.3,378,777,1418,2182,2298,2684
1025,7,11,9,9,1755,2137,2186,2463,738,1344,3485,4596,5445,6667,7122,6765,8459,7627,6471,5165,3716,2352,5.5,8.9,5.9,10,16.1,21.1,24.34065296,27.47087561,33.4,37.7,41.3733008,42.37128899,39.7,29.2,21.58708028,14.73130402,10.8,12.1,12.69896596,15.42653138,25.8,30.5,62.7,50.6,800,1510,2614,3733,4190,4386
1027,9,10,9,9,628,763,856,1563,311,479,1719,2583,2692,3690,3696,3797,4784,4301,3999,3322,2499,1769,4.3,5.9,4.8,8.6,15.5,20.4,27.10637858,30.50979628,31.1,37.8,38.20944898,37.01140462,46.2,34,25.83479789,17.24339604,7.3,7.8,8.849374548,15.23540306,24,32.1,66.8,53.4,345,690,1340,1992,2622,3130
1029,8,4,8,3,529,879,964,1978,162,431,1198,2031,2394,3417,3871,4230,4431,4578,4068,3536,2622,1586,2.7,5.8,4.5,5.2,13.7,17.8,26.69812248,28.23865206,29.6,35.8,38.05170549,38.94668999,50.2,37.1,25.77410793,14.60270693,6.5,9.2,9.476064091,18.21195102,19.8,27.4,73.1,61.7,272,385,1110,1701,2716,3067
1031,4,5,4,5,4274,5574,7543,7945,1040,2766,4861,6696,6824,7571,9877,10732,10790,9836,8522,7755,6092,5158,5.8,12.2,7.4,14.9,24.5,27.6,29.62375408,35.41350531,26.3,26.2,29.56388997,29.08085844,32.8,26.8,18.23460744,13.97680468,16.5,19.3,22.57774851,21.52883156,27,29.5,59.9,43.4,1332,3378,6354,7985,9897,13069
1033,3,2,3,4,3956,5273,6843,8307,1554,3034,7986,11210,11110,12665,13254,14160,15050,14231,11952,9972,6289,5102,5.8,9.4,8,11.7,21.3,25.3,30.44601434,32.72243643,32.4,33.9,34.93778996,34.55512714,34.8,26.7,16.57792071,12.45058324,11.5,14.1,18.03827499,20.27185319,29.9,34.8,56.3,44.2,2151,3756,7293,9474,11550,13409
1035,7,11,9,9,574,851,869,1067,342,556,1709,2569,2927,3518,3681,3908,5889,5197,4242,2984,2164,1017,4.1,6.2,4,7.9,13.6,20.3,24.81522956,26.2704565,32.7,38.1,41.2206047,48.08662483,47.3,32.3,24.23292273,12.51384275,6.4,9.2,9.731243001,13.12907592,20.7,28.4,71.2,57.5,332,714,1219,1877,2216,2135
1037,8,3,8,2,456,663,787,1180,196,237,1260,2100,2403,3164,3576,3135,3983,3780,3315,2831,1974,1367,3.4,3.6,4.7,8,14.1,19.3,22.27400957,28.39319471,33.4,38.3,43.8611554,39.50850662,46.1,34.3,24.21194652,17.22747322,6.3,8,9.652888507,14.87082546,22.1,31.6,69.8,56.9,269,529,1010,1597,1816,2253
1039,6,6,6,6,2198,3142,3607,4545,918,1636,4333,6401,6962,8473,8949,9745,13470,12771,10288,8115,5936,3656,4.7,7.1,5.1,9.2,19.3,23.2,29.44677604,32.17430742,28.9,33,34.1434567,36.83056805,42.7,31.6,22.64784433,13.8176046,9.1,12.2,13.76192293,17.17751994,22,27.9,68.3,55.7,1014,2108,4642,5975,7718,8513
1041,8,6,8,6,740,1039,1045,1530,296,576,1295,2062,2444,2689,3691,3760,5595,5285,4286,3700,2245,1586,3.9,6.8,5.1,6.5,15.1,19.9,26.33744856,24.47275923,27.8,29,38.94692413,41.30052724,48.7,39.9,23.6889311,17.42091388,8.4,11.2,11.02669621,16.80579965,17.1,24.3,73.9,62.4,385,549,1327,1840,2496,2228
1043,4,3,4,2,3405,6162,7780,11910,1113,2671,6244,11353,13529,16584,17913,19333,20137,19635,18093,15322,11642,9363,3.9,7.3,4.9,8.5,20.2,26.5,32.01806297,34.92628205,30.8,32,32.61712704,30.98237179,41.2,29.6,21.19849233,15.00480769,7.8,11.9,14.16631767,19.08653846,21.6,30.9,69.7,53.4,1405,3122,8882,13719,17584,21794
1045,4,5,4,5,3948,4398,5793,6539,1895,2898,7274,8575,8199,9159,10094,10549,9412,8736,7536,6976,5218,4830,9,11.6,11.9,18.8,32.7,34.6,36.0841914,35.21518089,28,29.2,30.56935191,31.18053913,25.8,22.2,15.80254391,14.27642469,13.5,14,17.54391278,19.32785528,34.5,34.5,44.6,35.1,2511,4681,9575,10857,11915,11914
1047,4,5,4,5,3474,4004,3723,4338,2329,3265,6357,8590,8010,9646,9841,9958,15421,13407,11488,8524,6884,3301,8.8,11.3,8.4,12.4,19.2,22.9,26.73331183,31.01109499,28.2,33.6,35.26102691,39.04026346,40.4,29.7,24.66587839,12.94154546,12.2,13.9,13.33978287,17.00709609,24.1,29.8,58.6,46.5,2219,3575,5448,6568,7461,7910
1049,6,6,6,5,2520,3528,4623,6727,884,1808,4853,8936,10770,14549,16669,16307,17375,18316,16665,15469,13811,10204,3.7,5.7,3.6,9,15.6,21.5,25.05924297,31.41713437,30.4,34,35.5863453,33.64765599,47,36.2,29.48485301,21.05480357,7.1,8.3,9.86955872,13.88040607,20.2,28,72.5,57.3,861,2888,5529,9194,11738,15226
1051,2,2,2,4,4031,7173,11206,15104,967,2567,4755,9169,10188,14576,18197,21341,11066,10585,10518,9679,7329,6446,5.4,10.3,6,10.9,21.3,27.2,30.81182897,30.72711415,32.4,33.8,34.27575815,34.46766587,33.5,22.4,13.80485967,10.41087926,12.8,16.6,21.10755321,24.39434072,26.6,36.6,62,42.3,1063,2722,6695,11749,16358,19025
1053,6,6,6,6,1707,2693,3197,3185,886,1586,4721,7230,7841,8860,9156,11014,12205,10842,9037,8030,6508,4454,4.8,7.2,4.5,10.7,17.5,23.2,28.09378574,26.84811169,34.8,34.7,34.9065955,43.19385074,40.1,31.5,24.81128479,17.46735166,7.6,10.6,12.18833397,12.49068591,25.3,32.8,65.4,49.2,836,2365,3942,5927,7369,6846
1055,3,2,3,4,6689,9372,10830,12683,2765,5491,14834,20344,20194,22531,23262,24651,31249,27842,23588,18115,13038,10321,5.2,8.9,7.4,13,23.1,28.4,33.97587661,34.33236875,30.7,32.3,32.58759088,33.96858206,35.9,25.9,18.26485298,14.22213036,10.2,13.4,15.17167953,17.47691884,28.1,33,59.2,45.1,3927,8053,15201,19811,24253,24915
1057,6,6,8,6,995,1157,1393,1750,360,820,2043,3322,3700,4404,4690,4252,6552,6340,5060,4265,2916,1657,3.8,7.3,4.7,6.7,16.4,21.9,25.29470364,31.73796791,31.7,35,38.934086,37.89661319,43.4,33.9,24.20720571,14.76827094,8.5,9.2,11.56400465,15.59714795,21.8,29.6,69.8,56.4,438,756,1917,2753,3047,3561
1059,6,6,6,5,1269,2021,2560,3150,467,1029,3413,5062,5640,6363,7119,8336,9158,9431,8212,7904,5671,4340,3.4,6,4.1,9.6,17.3,21.9,27.092239,25.19379845,30.8,30.5,33.81305215,39.40253356,44.9,37.9,26.93549919,20.51427491,6.9,9.7,12.15920965,14.88939308,25.1,29.5,67.4,54.9,558,1651,3171,4572,5704,5330
1061,3,2,3,4,1058,1526,2037,2526,554,861,2921,4500,4924,5626,6956,7086,8446,7816,6896,6046,4631,3185,4.5,5.9,3.9,9,16.8,25,27.28825319,32.5372977,31.8,32,37.12440626,37.35568559,44.6,34.4,24.71580296,16.79055301,6.8,8.7,10.8715376,13.3164637,23.5,31.1,68.1,54,486,1296,2597,4390,5113,6172
1063,8,6,2,4,618,652,694,658,342,558,753,1281,1727,2165,2349,2407,3879,3488,2734,2182,1457,949,6.5,9.6,6.2,8.2,14.2,19.4,24.57257794,23.89078498,29.2,34.9,39.37311431,45.63898369,46.2,35.2,24.4217231,17.9939325,10.4,10.5,11.63258465,12.47629882,14.2,22.1,73.2,60.1,328,478,838,1205,1466,1260
1065,3,2,2,4,822,858,1227,1672,391,564,1322,2007,2862,3803,3928,3812,5803,5207,4218,3683,2809,1805,5,6.7,3.9,7.7,14.5,21.2,23.88416324,26.87600321,31,35.9,37.54181401,38.2423756,45.6,34.8,26.84698461,18.10794543,8.9,8.1,11.72703813,16.77367576,16.9,23.8,74.2,61.8,309,646,1342,2247,2499,2679
1067,3,2,3,4,817,1545,1903,2758,349,779,1456,2379,2871,3192,4369,4119,5087,5051,4121,3654,2532,2260,4.8,8.6,4.9,8.9,21.4,23.5,27.12523798,28.17953152,28.9,29.1,36.16422482,32.37698475,41.5,33.3,20.95852992,17.76450244,8.2,14.1,15.75200728,21.67898129,20.1,26.4,70.2,56,353,804,2123,2576,3277,3585
1069,3,2,3,4,7696,10817,13136,16960,2133,5435,8637,13980,15026,17809,23426,23903,17385,17844,16226,13771,11414,9386,7,12.7,7.2,12.9,23.9,27.7,29.66942755,32.54262317,29.4,30.4,34.34142051,32.08887099,31.7,23.5,16.73239024,12.60034904,15,18.4,19.25676171,22.7681568,28.5,32.7,57.3,41.7,2189,5521,12206,16274,20239,24241
1071,6,5,6,5,2471,3798,4914,5892,716,1996,4476,9042,9876,12707,13553,14353,15217,15423,12932,12006,9316,6799,3.4,6.8,4.1,10.5,18.1,21.7,25.28639811,28.62496701,32,34.9,36.44651213,37.88070731,41.9,33,25.05243909,17.94404856,8,10.4,13.21465067,15.55027712,21,30.6,71.5,52.2,877,3094,5568,7924,9403,10846
1073,1,1,1,1,84718,106833,128710,163366,33827,63229,101656,132921,120393,121233,120355,117710,186882,141531,111325,82950,56047,40950,9.5,15.8,9.1,15.8,25.7,28.4,30.58237075,29.16168969,28.3,27.9,27.38259645,25.89349154,26.2,19.1,12.75154653,9.008057757,19.9,24.6,29.28348626,35.93676101,28.7,33.1,52.7,35.3,32182,63342,109272,123142,134419,132567
1075,8,7,8,6,631,838,1038,1139,284,580,1522,2988,3441,4036,4010,4031,6105,5583,4802,3759,2427,1582,3.4,5.9,4.2,6.5,13,19.8,26.90201447,31.28434765,33.8,37.5,39.21376882,41.02381437,47.1,34.9,23.73362018,16.10014248,6.2,7.8,10.15059652,11.5916955,18.4,30.5,73.9,57,350,640,1321,2125,2751,3074
1077,3,2,3,4,8450,10881,13704,17586,3016,6044,10109,15561,16585,20105,21061,21819,20423,19666,16520,13915,10497,6945,8.3,13,8,11,19.2,23.8,27.77494096,28.61653139,32.2,34.1,33.60726368,33.60336357,32.1,23.6,16.75017553,10.69596957,16.4,18.5,21.86761984,27.08413547,27.7,33.6,56,42.4,2924,5109,9881,13993,17406,18581
1079,3,2,3,4,1211,1723,3023,3652,328,665,3115,5396,7293,9029,9166,9616,9757,9514,8663,7872,5132,3610,2.4,4,3.5,6.6,12,18.7,25.57789808,27.8100941,37.4,39.4,39.38300249,41.12917023,44.4,34.4,22.05035662,15.44054748,6.2,7.5,12.9887428,15.6201882,22.8,32.4,71.3,57.1,485,1101,2331,4270,5953,6502
1081,3,2,3,4,11500,17351,25136,45415,4386,7777,5933,9860,11714,16576,21979,23949,13597,13621,12179,11557,11229,9421,16.6,21.6,9.5,13.1,22.2,26.8,27.42019755,28.29579067,25.8,26.7,27.34182569,21.79658703,26.8,18.6,13.9688503,8.574288965,25.3,27.9,31.26912646,41.33333333,22.5,27.4,51.5,37.9,2498,4712,10091,16686,22042,31090
1083,2,2,2,4,4811,7349,12414,22974,1309,2277,5239,8272,10620,14102,17625,19932,13226,12837,12856,11081,10757,9402,6.2,8.7,6.7,10.2,18.9,25.1,28.19249116,30.80403207,30.5,32.5,31.02282928,26.367172,36.9,25.5,18.93404679,12.43749504,13.8,16.9,21.85063278,30.3913009,24.7,31.8,62.4,49.3,1411,2648,6585,10924,16017,23286
1085,2,2,2,4,566,901,1052,971,275,430,919,1722,2199,2731,2891,3079,4077,3629,3007,2925,1769,1174,5,6.8,4.9,8.4,16.9,19.9,23.11212815,25.36076582,31.7,33.4,38.91506259,43.99199886,43.3,35.7,23.81208776,16.77382483,8.2,11,14.1607215,13.87341049,16.6,27.3,73.6,57.5,272,531,1170,1626,1717,1775
1087,6,6,3,4,2476,2617,2512,2418,1810,2526,1937,3172,3195,3486,3758,3699,7510,6380,5236,4188,2640,1842,14.7,18.1,8.5,13.4,20.7,26.3,31.01045296,31.74684847,23.2,25,29.09794812,31.72112169,38.1,30,20.44134727,15.79624389,18,18.8,19.45025165,20.73578595,15.7,22.7,61,45.7,1045,1871,2852,3664,4005,3702
1089,2,2,2,4,46049,61814,83642,124533,17289,23506,28255,34718,35243,39591,48511,52261,34090,32899,30211,26308,23316,20194,18.8,21.4,13.6,17.2,27.1,29.2,29.77183718,27.7264739,23.1,21.9,21.91329723,19.17419715,19.8,14.6,10.53225945,7.409038043,30.1,34.3,37.78260614,45.69029091,30.7,31.5,37,29.9,12537,18930,41361,52676,65908,75571
1091,7,11,6,6,1612,1732,2482,2640,761,1207,2557,4241,4840,5351,5311,4453,7786,7127,5425,4020,2386,1860,6.4,8.8,6.4,8.6,15.5,22.5,27.60827822,30.76863594,34.4,37.4,37.77114003,34.43396226,38.6,28.1,16.96892113,14.38292607,11.5,12.1,17.65166062,20.41447572,21.6,30.8,65.6,51.8,757,1181,2173,3223,3882,3979
1093,7,11,9,8,1301,1719,1887,2663,484,1085,2937,5194,5584,7107,7605,7491,9771,10347,9728,7962,6140,3713,3.5,6.1,3.3,7.2,14.7,22.3,27.92992162,33.18074495,28.7,32.9,35.06224066,36.09598612,50,36.8,28.30797603,17.8913892,6.7,8,8.699861687,12.83187973,21.5,29,71.6,57.7,448,1298,2852,4823,6058,6886
1095,4,5,4,5,5359,7639,9448,13882,1573,3377,6898,11947,13615,16758,19643,21272,19838,19513,17985,16845,15665,10141,5.2,8.6,6,10.9,20.8,25,27.31701772,30.41494477,29.2,30.5,31.89989769,32.67939717,38.5,30.6,25.43969339,15.57924815,11.5,13.9,15.3433912,21.32640991,22.9,30.6,65.9,49.9,1791,4260,9719,13719,16821,19798
1097,2,2,2,4,36078,46625,54313,70483,12072,24926,43792,69871,75114,79822,89666,94779,92179,77046,69340,58223,43800,30804,7.5,12.4,7.9,14.5,22.3,26.2,29.85678426,30.03839456,32.3,31.9,33.4939561,33.81968828,29.9,23.3,16.36110987,10.99169307,15.5,18.6,20.28814978,25.15022409,27.2,34.8,57.4,38.3,12675,29075,51722,65452,79929,84182
1099,7,11,8,6,1538,1813,1514,1534,604,1068,2314,4060,4478,5285,6305,6154,7137,6079,5799,4939,3695,2213,5.7,8.7,5.1,9,17,21.7,25.03418191,26.69184066,31.5,34.4,41.05084966,45.5649341,40.8,32.1,24.05755583,16.38531023,10.8,11.8,9.857412592,11.357915,21.8,33,67.3,49.4,544,1107,2413,3341,3845,3605
11000,,,,,136285,150237,213749,307906,75233,109478,110767,101817,86756,79169,79574,70322,189720,131277,109866,85249,52036,34651,17.8,27.5,11.2,14.1,18.6,18.2,17.26580617,14.7659195,21.2,20.6,19.06274555,14.51716122,26.9,22.2,12.46574292,7.153297028,33.3,39.1,51.20570536,63.56362225,26.2,25.5,44.8,32.9,47331,56081,76224,69880,72073,71527
11001,1,1,1,1,136285,150237,213749,307906,75233,109478,110767,101817,86756,79169,79574,70322,189720,131277,109866,85249,52036,34651,17.8,27.5,11.2,14.1,18.6,18.2,17.26580617,14.7659195,21.2,20.6,19.06274555,14.51716122,26.9,22.2,12.46574292,7.153297028,33.3,39.1,51.20570536,63.56362225,26.2,25.5,44.8,32.9,47331,56081,76224,69880,72073,71527
1101,2,2,2,4,31075,40294,45258,51616,11119,21989,26418,34341,32844,34410,38755,39432,39981,36541,31713,27905,21542,16801,12.7,20,11.5,15.6,25.5,27.4,27.88382707,28.38616715,25.6,24.3,26.47778203,26.18361466,24.7,19.7,14.71769786,11.15619065,24.2,28.5,30.92069305,34.27402754,30.2,31.2,45.7,33.2,10034,17210,32733,38733,40813,42749
1103,3,2,3,4,10019,13490,15801,19776,3418,6164,11946,18311,19282,22252,25812,26768,22039,20951,19814,17347,14598,12692,8.4,11.8,8.3,13.1,24.1,27.6,30.52049986,30.38675332,29.8,30.3,31.90487374,31.45734667,30.6,23.7,18.04383027,14.91544545,15.5,18.4,19.53079614,23.24045456,29.3,35,54,40.1,3403,6843,15600,20242,24692,25857
1105,8,4,8,3,825,701,739,878,531,762,1263,2016,1936,2119,2707,2220,5338,4468,3507,2625,1866,929,7.1,9.7,4.9,7.8,12.4,22,21.24536694,22.72116676,27.1,30.4,40.13343217,42.60218768,49,37.6,27.66493699,17.82767223,11.5,10,10.9562639,16.84897333,16.8,25.7,71.2,56.9,364,612,885,1533,1433,1184
1107,3,2,2,4,859,1323,1317,1871,496,844,2406,3616,4465,5110,5656,5854,7409,6800,5682,4108,3017,2194,4.6,7,4.8,7,15.1,22.1,25.39208364,27.13047311,34.4,37.8,42.24047797,43.00617103,43.8,30.3,22.5317401,16.11813106,6.6,9.8,9.835698282,13.7452248,22.2,29.9,68.4,56.2,517,850,1957,2995,3400,3693
1109,6,5,6,5,2242,3264,4281,5286,886,1690,2906,3979,4406,5312,6858,6573,7862,7852,6451,5472,3509,2403,7.1,11.3,7.2,9.5,16.7,20.6,23.12778798,26.30219099,28,30,35.99055366,33.9654816,41,30.9,18.41511414,12.41732121,14.3,18.4,22.46654421,27.3150062,23.1,26.6,62.6,52.6,906,1412,2618,3655,4407,5090
1111,6,4,8,3,992,1479,1838,3219,399,858,2268,3192,3678,4723,5449,5583,7664,6965,6363,5618,4389,2573,3.7,7.2,3.3,7,13.9,19.9,24.54439705,27.50159337,28.7,32,35.2139072,35.583174,49.7,38.1,28.36370686,16.39898024,7.7,10,11.87798888,20.51625239,21.2,26.9,71.7,58.8,355,832,1776,2942,3798,4315
1113,2,2,2,4,2437,3110,5123,6744,682,1536,4669,7656,9153,10594,11261,12427,16516,15314,12750,10749,7559,5687,3,5.7,3.5,8.5,18,23.8,31.48964175,37.88450486,30.8,33,32.22215864,31.05274994,43,33.5,21.62927778,14.21074989,8.2,9.7,14.65892183,16.8519953,20.6,28.6,72.9,57.2,801,2284,5332,7654,11005,15161
1115,1,1,1,1,2708,4791,8507,13034,471,1519,3540,7947,10492,14921,19643,22658,10304,11841,12450,12353,11002,8114,3.1,6.4,4.4,9.9,19.6,25.6,31.42056402,32.97325418,32.9,34.6,34.40707655,34.66858437,39,28.7,19.27132598,12.41508048,8.5,11.1,14.90103346,19.94308097,23.6,33.6,68.8,50.1,666,2335,6271,11036,17938,21550
1117,1,1,1,1,17978,34649,52858,71981,1123,6564,4731,11735,15884,21671,27883,31864,12329,13473,13507,12386,11096,9336,5.8,17.8,5.8,14.1,23.5,27.1,29.55988832,27.35867221,25.6,23,21.3866049,20.45081125,21.8,13.2,8.510768853,5.991990142,29,36.8,40.54273793,46.19852639,24.5,31.7,63.9,36.4,1110,5204,14569,25479,38539,42627
1119,8,6,8,6,996,1086,1287,1355,592,843,1391,2314,2343,2719,3279,2430,5393,4575,4259,3077,2066,858,7.4,9.9,7.6,9.5,15.1,21.2,21.12274025,34.79848336,26.2,31.1,38.99857279,34.12442073,47.6,35.2,24.57183635,12.04886954,11.1,12.4,15.30685062,19.02822637,17.4,27.1,67.5,53.5,608,814,1356,1849,1776,2478
