fips_code,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023
2188,14.7,409,,,12.1,249,14.6,1059,71208,31.3,867,,,28.1,579,23.6,1721,86030,78619,23,,20.1,19.1,638,,414,1390,9
2195,7.2,49,,,5.6,30,6.4,209,60250,14.8,101,,,13,70,10.4,343,76648,68449,11,,9.3,8.4,75,,50,276,9
2198,14.6,182,,,11.6,109,11.9,676,50404,29.6,370,,,26.4,247,19.5,1108,64204,57304,22.1,,19,15.7,276,,178,892,9
22000,24.2,254093,25.2,68953,23.1,178447,18.5,820715,57163,26.2,274989,28.6,78263,25.5,196889,19.3,858263,59383,58273,25.2,26.9,24.3,18.9,264541,73608,187668,839489,
22001,24.2,3438,,,22.7,2364,21.5,11976,39746,38.8,5530,,,38.7,4024,28.5,15918,46520,43133,31.5,,30.7,25,4484,,3194,13947,2
22003,16.3,819,,,15.5,578,15.4,2972,42706,30.5,1529,,,29.9,1122,24.8,4766,53168,47937,23.4,,22.7,20.1,1174,,850,3869,6
22005,9,3025,,,8.5,2163,8.7,11301,82539,16.4,5559,,,16.3,4171,12.7,16625,96577,89558,12.7,,12.4,10.7,4292,,3167,13963,2
22007,18.5,744,,,17.5,521,14.3,2851,49492,34.9,1402,,,35.1,1049,22.3,4453,59530,54511,26.7,,26.3,18.3,1073,,785,3652,2
22009,30.4,2743,,,25.1,1687,23.1,8199,39452,44.2,3999,,,41.5,2793,30.9,10981,49848,44650,37.3,,33.3,27,3371,,2240,9590,6
22011,14.1,1299,,,13.6,903,12.8,4547,51043,24.9,2291,,,25,1663,18.6,6645,63173,57108,19.5,,19.3,15.7,1795,,1283,5596,6
22013,24.5,687,,,23.7,481,20.5,2463,34549,43.9,1227,,,44.1,895,30.1,3623,44937,39743,34.2,,33.9,25.3,957,,688,3043,8
22015,14.7,4644,,,14,3269,11.6,14807,65266,23.3,7314,,,22.8,5345,16,20475,76856,71061,19,,18.4,13.8,5979,,4307,17641,2
22017,26.1,13513,,,24.2,9306,20.2,44905,48076,37.3,19283,,,35.8,13732,25.4,56569,53470,50773,31.7,,30,22.8,16398,,11519,50737,2
22019,21.1,10488,,,18.2,6627,15.5,31104,59629,29.3,14524,,,26.8,9765,19.7,39670,68195,63912,25.2,,22.5,17.6,12506,,8196,35387,2
22021,19.8,398,,,18.3,277,15.4,1334,41762,38.2,768,,,36.9,557,25.2,2180,54338,48050,29,,27.6,20.3,583,,417,1757,8
22023,12.7,132,,,13.1,99,10.5,497,57823,24.5,256,,,26.7,203,17.1,813,74555,66189,18.6,,19.9,13.8,194,,151,655,2
22025,35.6,643,,,31.6,425,24.2,1910,34989,56.6,1023,,,53.8,723,35.8,2826,45289,40139,46.1,,42.7,30,833,,574,2368,9
22027,26.7,693,,,24,470,23.2,2749,34773,48.3,1255,,,46,904,35.2,4175,44379,39576,37.5,,35,29.2,974,,687,3462,9
22029,23.5,951,,,22.1,689,19.3,3239,38552,45.9,1863,,,44.3,1387,31.1,5223,47720,43136,34.7,,33.2,25.2,1407,,1038,4231,6
22031,16.9,1080,,,16.3,776,13.9,3723,46713,31.1,1994,,,31.1,1486,21.5,5735,59617,53165,24,,23.7,17.7,1537,,1131,4729,2
22033,20.4,20322,,,18.9,13707,18.1,78004,56686,29.6,29412,,,28.9,20927,21.9,94846,63724,60205,25,,23.9,20,24867,,17317,86425,2
22035,37,496,,,34.8,353,35.8,1846,30097,68.6,918,,,66.4,673,57.2,2950,39111,34604,52.8,,50.6,46.5,707,,513,2398,8
22037,15.8,522,,,14.8,362,15.4,2581,52159,30.4,1006,,,30.2,740,24.4,4075,64561,58360,23.1,,22.5,19.9,764,,551,3328,2
22039,19.1,1501,,,19.4,1093,17.2,5217,42073,37.7,2953,,,39,2201,27.2,8243,50283,46178,28.4,,29.2,22.2,2227,,1647,6730,6
22041,24.9,1196,,,23.6,845,18.4,3493,36925,47.7,2296,,,47,1685,29.4,5575,47207,42066,36.3,,35.3,23.9,1746,,1265,4534,6
22043,18.7,840,,,17.3,556,16.1,3050,51854,32.1,1438,,,31.3,1010,24.7,4674,65266,58560,25.4,,24.3,20.4,1139,,783,3862,3
22045,25.8,4323,,,23.9,2943,18.4,12290,45808,40.6,6787,,,39.3,4843,25.8,17292,57732,51770,33.2,,31.6,22.1,5555,,3893,14791,4
22047,23.3,1424,,,21,917,15.5,4161,47794,39.9,2436,,,40.2,1763,24.9,6683,60736,54265,31.6,,30.6,20.2,1930,,1340,5422,2
22049,19.2,588,,,17.5,421,15.1,2111,44758,36.2,1108,,,34.5,827,23.7,3321,57672,51215,27.7,,26,19.4,848,,624,2716,6
22051,18.9,17331,,,17.4,11538,15.3,64046,58535,27.5,25269,,,27.2,18092,18.9,78706,63801,61168,23.2,,22.3,17.1,21300,,14815,71376,1
22053,16.5,1292,,,15.8,914,14.1,4352,57257,29.7,2334,,,29.6,1718,21.5,6626,67869,62563,23.1,,22.7,17.8,1813,,1316,5489,2
22055,17,10125,,,15.3,6607,15,36926,59177,25.6,15185,,,25.3,10871,18.8,46406,69185,64181,21.3,,20.3,16.9,12655,,8739,41666,2
22057,20.9,4426,,,20.8,3272,16.8,15529,54321,30.5,6462,,,30.8,4828,22,20371,65893,60107,25.7,,25.8,19.4,5444,,4050,17950,3
22059,17.5,552,,,17.5,408,15.6,1992,50501,30.3,952,,,30.7,716,24.4,3118,64611,57556,23.9,,24.1,20,752,,562,2555,8
22061,19.4,1807,,,17.8,1210,24.5,10438,41796,35.2,3283,,,34,2322,32.3,13742,53906,47851,27.3,,25.9,28.4,2545,,1766,12090,4
22063,14.6,5526,,,13.6,3815,12.3,18186,67444,21.6,8148,,,20.8,5859,15.9,23662,80046,73745,18.1,,17.2,14.1,6837,,4837,20924,2
22065,32.7,739,,,30.8,500,26.2,2214,30371,63.5,1435,,,63.4,1026,42,3546,39037,34704,48.1,,47.1,34.1,1087,,763,2880,6
22067,35.3,1924,,,32,1298,26.6,6057,32672,54.7,2986,,,53.6,2180,36,8197,41838,37255,45,,42.8,31.3,2455,,1739,7127,3
22069,21.6,1732,,,22.2,1315,20.5,6980,44353,37.4,3004,,,38.2,2267,28.1,9600,50599,47476,29.5,,30.2,24.3,2368,,1791,8290,6
22071,27.1,18908,,,28.2,14256,20.8,72590,49964,38.1,26628,,,39.8,20172,25.4,88948,57494,53729,32.6,,34,23.1,22768,,17214,80769,1
22073,24.1,9141,,,23.3,6555,19,29020,49626,34.7,13151,,,34.1,9581,23.8,36248,56182,52904,29.4,,28.7,21.4,11146,,8068,32634,3
22075,13.7,732,,,13.1,526,11.9,2583,63566,25.3,1350,,,25.1,1002,19.3,4169,79354,71460,19.5,,19.1,15.6,1041,,764,3376,1
22077,19.5,817,,,19.3,585,16.1,3186,49919,36.1,1517,,,37.1,1127,24.1,4770,64171,57045,27.8,,28.2,20.1,1167,,856,3978,2
22079,20.3,6289,,,19.1,4379,17.1,21141,48054,31.5,9729,,,30.3,6939,22.7,28107,56704,52379,25.9,,24.7,19.9,8009,,5659,24624,3
22081,24.3,405,,,24.9,298,19.1,1363,40959,44.5,741,,,47.1,562,29.9,2143,52675,46817,34.4,,36,24.5,573,,430,1753,8
22083,27.8,1280,,,29.5,984,20,3764,39561,46.4,2138,,,48.3,1610,30.2,5682,50625,45093,37.1,,38.9,25.1,1709,,1297,4723,3
22085,16.7,831,,,16,591,15.6,3376,46640,32.3,1603,,,32.2,1187,23,4952,59726,53183,24.5,,24.1,19.3,1217,,889,4164,8
22087,18.4,2074,,,15.3,1286,14.4,6383,48221,33,3732,,,30.9,2588,21.6,9533,56057,52139,25.7,,23.1,18,2903,,1937,7958,1
22089,14.2,1689,,,13.4,1215,10.3,5148,73276,23.8,2829,,,22.8,2073,15.5,7788,89688,81482,19,,18.1,12.9,2259,,1644,6468,1
22091,23.7,504,,,23.4,380,18.1,1923,40914,46.5,992,,,48.2,786,27.5,2919,52756,46835,35.1,,35.8,22.8,748,,583,2421,2
22093,15.4,641,,,15,466,11.4,2175,57985,30.6,1273,,,31.2,970,18.8,3583,70193,64089,23,,23.1,15.1,957,,718,2879,1
22095,19.1,1778,,,17.6,1238,12.8,5028,56910,36.7,3424,,,35.8,2518,20.8,8150,69456,63183,27.9,,26.7,16.8,2601,,1878,6589,1
22097,21.8,4671,,,19.1,3015,19.3,15542,39016,38,8125,,,35.5,5607,27.1,21760,47086,43051,29.9,,27.3,23.2,6398,,4311,18651,4
22099,19.9,2365,,,18.2,1620,14.7,7442,48284,34.1,4069,,,33.8,3004,21.5,10874,60748,54516,27,,26,18.1,3217,,2312,9158,2
22101,22.4,2520,,,20.4,1685,17.1,7899,46402,39.8,4482,,,38.2,3159,25.7,11903,55956,51179,31.1,,29.3,21.4,3501,,2422,9901,4
22103,11.1,7063,,,9.7,4619,10.1,27646,73382,17.9,11435,,,16.9,8093,13.7,37336,83586,78484,14.5,,13.3,11.9,9249,,6356,32491,2
22105,20.3,6738,,,18.5,4400,15.8,21177,50570,32.5,10796,,,31.9,7586,22.2,29717,60294,55432,26.4,,25.2,19,8767,,5993,25447,3
22107,32.7,251,,,29.8,185,23.5,885,31773,61.5,471,,,57.6,357,38.1,1431,39567,35670,47.1,,43.7,30.8,361,,271,1158,9
22109,15.6,3949,,,14.1,2611,13,13238,57800,28.6,7201,,,27.9,5185,19.2,19662,67332,62566,22.1,,21,16.1,5575,,3898,16450,3
22111,20.3,867,,,19.4,618,14.2,2869,46345,37.1,1585,,,37,1182,22.4,4533,59161,52753,28.7,,28.2,18.3,1226,,900,3701,3
22113,16.8,2378,,,16.1,1702,14.1,7919,48331,30.4,4310,,,31.3,3296,20.9,11761,59091,53711,23.6,,23.7,17.5,3344,,2499,9840,2
22115,16.1,1871,,,15.8,1268,14.1,6271,50906,26.1,3023,,,26.6,2132,19.3,8635,60838,55872,21.1,,21.2,16.7,2447,,1700,7453,4
22117,22.7,2368,,,24.4,1873,19,8161,40222,39.5,4118,,,41,3147,27.6,11899,49924,45073,31.1,,32.7,23.3,3243,,2510,10030,6
22119,21,1638,,,20.1,1166,16.5,5753,44628,36.6,2860,,,36.7,2132,24.1,8375,49548,47088,28.8,,28.4,20.3,2249,,1649,7064,6
22121,13.2,897,,,12.7,638,10.3,2838,64662,25.6,1739,,,25.5,1284,16.9,4660,81684,73173,19.4,,19.1,13.6,1318,,961,3749,2
22123,20.7,428,,,19.8,305,14.9,1371,41271,39.9,826,,,40.2,619,24.3,2249,52789,47030,30.3,,30,19.6,627,,462,1810,8
22125,13,323,,,11.7,223,16.7,1666,64802,25,623,,,23.7,453,27.9,2778,83934,74368,19,,17.7,22.3,473,,338,2222,2
22127,21.6,595,,,20.1,421,18.9,2230,42264,39.8,1099,,,38.1,801,29.5,3474,54596,48430,30.7,,29.1,24.2,847,,611,2852,8
2220,7.4,112,,,5.2,60,7.3,589,78595,13.8,210,,,11.6,134,11.3,921,99933,89264,10.6,,8.4,9.3,161,,97,755,7
2230,5.7,10,,,5.3,7,4.5,48,69515,12.1,20,,,11.9,15,7.3,80,89309,79412,8.9,,8.6,5.9,15,,11,64,9
2240,9.1,163,,,8.2,107,9.3,650,71160,18.9,341,,,18.6,243,15.1,1064,86868,79014,14,,13.4,12.2,252,,175,857,9
2275,10,37,,,9.1,23,9,184,56644,20.2,75,,,20.5,53,14.4,294,73378,65011,15.1,,14.8,11.7,56,,38,239,9
2282,18.2,24,,,12.2,13,11.7,80,67093,33.8,44,,,27.8,29,18.9,130,87123,77108,26,,20,15.3,34,,21,105,9
2290,16,222,,,13.9,148,16.9,861,43196,33.6,464,,,31.5,334,26.9,1373,55800,49498,24.8,,22.7,21.9,343,,241,1117,8
23000,11.5,28088,11.2,6655,10.6,19527,10,135779,71871,13.7,33462,14.4,8533,13.4,24583,11,148213,75055,73463,12.6,12.8,12,10.5,30775,7594,22055,141996,
23001,12.6,2855,,,10.3,1742,10.9,11824,59087,20.6,4693,,,18.7,3164,15.1,16364,67825,63456,16.6,,14.5,13,3774,,2453,14094,3
23003,9.6,1192,,,9.3,857,9.4,6161,53216,20.8,2574,,,20.9,1917,14.8,9737,59506,56361,15.2,,15.1,12.1,1883,,1387,7949,7
23005,5,2710,,,4.9,1970,5.6,16857,92062,9.6,5208,,,9.7,3878,8.2,24559,100448,96255,7.3,,7.3,6.9,3959,,2924,20708,2
23007,9.9,505,,,9.4,364,10.7,3106,51564,21.3,1083,,,21,820,16.5,4784,61454,56509,15.6,,15.2,13.6,794,,592,3945,8
23009,8.7,765,,,7.8,524,8,4439,68909,17.7,1549,,,16.8,1132,12.2,6733,76385,72647,13.2,,12.3,10.1,1157,,828,5586,8
23011,10.8,2497,,,10.8,1870,9.6,11780,60209,18.6,4275,,,18.4,3202,13.4,16484,69077,64643,14.7,,14.6,11.5,3386,,2536,14132,4
23013,8.3,551,,,7.8,406,6.1,2429,63893,17.7,1187,,,17.2,894,11.1,4399,77173,70533,13,,12.5,8.6,869,,650,3414,7
23015,9,516,,,7.9,351,7.4,2667,68300,18.6,1072,,,17.7,783,12.2,4393,80838,74569,13.8,,12.8,9.8,794,,567,3530,8
23017,14.5,1488,,,14.2,1096,12.3,7216,56333,24.3,2484,,,24.2,1872,16.7,9842,64107,60220,19.4,,19.2,14.5,1986,,1484,8529,6
23019,9.1,2417,,,7.8,1563,10.8,16063,61179,16.9,4457,,,15.8,3163,14.4,21557,69251,65215,13,,11.8,12.6,3437,,2363,18810,3
23021,12.7,362,,,12.1,255,12.2,2112,46740,27.3,780,,,27.5,579,18.4,3168,56834,51787,20,,19.8,15.3,571,,417,2640,8
23023,7.3,475,,,6.6,332,6.7,2468,77805,14.5,949,,,13.8,688,10.7,3990,88555,83180,10.9,,10.2,8.7,712,,510,3229,2
23025,11.5,1058,,,9.9,682,10.6,5361,53559,24.5,2242,,,23.3,1592,16,8089,59285,56422,18,,16.6,13.3,1650,,1137,6725,6
23027,13,904,,,12.3,647,10,3994,63843,24,1664,,,23.7,1241,15.4,6138,72847,68345,18.5,,18,12.7,1284,,944,5066,8
23029,14.5,825,,,12,509,17.5,5391,44434,26.9,1535,,,26.6,1125,22.7,6965,51774,48104,20.7,,19.3,20.1,1180,,817,6178,9
23031,6.2,2326,,,5.9,1667,6.5,14096,81259,11.6,4352,,,11.5,3225,9.7,20828,89631,85445,8.9,,8.7,8.1,3339,,2446,17462,2
24000,10.6,140708,11.6,39556,9.4,92877,9.4,567972,97322,12,159104,14.2,48238,11,108819,10,602222,99814,98568,11.3,12.9,10.2,9.7,149906,43897,100848,585097,
24001,16.2,1909,,,14.3,1235,15.7,9586,49832,28.4,3329,,,26.7,2301,21.9,13420,59686,54759,22.3,,20.5,18.8,2619,,1768,11503,4
24003,4.7,6133,,,4,3858,5.2,30221,113177,9.1,11987,,,8.6,8284,7.4,43053,120735,116956,6.9,,6.3,6.3,9060,,6071,36637,1
24005,7.8,13935,,,6.6,8772,8.7,71581,83993,12.8,22927,,,12,15774,10.9,88921,89621,86807,10.3,,9.3,9.8,18431,,12273,80251,1
24009,4.2,902,,,3.7,600,3.6,3375,117533,8.6,1844,,,8.1,1324,6.2,5877,131439,124486,6.4,,5.9,4.9,1373,,962,4626,3
24011,11,861,,,10.1,568,10.8,3587,56580,21.6,1677,,,21.3,1198,15.8,5245,70402,63491,16.3,,15.7,13.3,1269,,883,4416,6
24013,4.1,1548,,,3.6,1059,5.3,9183,108435,7.5,2890,,,7.2,2071,7.5,12879,119335,113885,5.8,,5.4,6.4,2219,,1565,11031,1
24015,9,2058,,,7.8,1316,8.1,8391,79787,16.6,3780,,,15.6,2638,11.9,12377,95397,87592,12.8,,11.7,10,2919,,1977,10384,1
24017,6.3,2509,,,5.1,1563,6.4,10827,98715,11.7,4679,,,10.9,3297,9.2,15577,111567,105141,9,,8,7.8,3594,,2430,13202,1
24019,15.5,1025,,,13.9,675,12.3,3995,57017,30.9,2051,,,30.5,1479,19.1,6193,69157,63087,23.2,,22.2,15.7,1538,,1077,5094,6
24021,5.3,3581,,,4.3,2160,5.2,15114,109826,9.3,6213,,,8.1,4112,7.6,21836,118352,114089,7.3,,6.2,6.4,4897,,3136,18475,1
24023,9,430,,,8.4,301,8.1,2241,61225,20.2,970,,,20,721,13.5,3745,70757,65991,14.6,,14.2,10.8,700,,511,2993,8
24025,5.2,3014,,,4.3,1847,6.1,16035,100387,10.2,5896,,,9.5,4153,8.5,22199,108719,104553,7.7,,6.9,7.3,4455,,3000,19117,1
24027,4.4,3409,,,4,2388,4.5,14863,134135,8.2,6323,,,7.6,4608,6.7,22441,146091,140113,6.3,,5.8,5.6,4866,,3498,18652,1
24029,12.9,369,,,12,251,10,1808,63268,25.3,719,,,25,523,16,2890,76294,69781,19.1,,18.5,13,544,,387,2349,6
24031,5.3,12401,,,4.5,7950,6.3,65867,122730,8.9,21061,,,8.5,14968,8.1,84659,127422,125076,7.1,,6.5,7.2,16731,,11459,75263,1
24033,11.1,22354,,,9.4,13652,9.8,90871,94534,16.7,33530,,,15,21928,12.2,112489,99808,97171,13.9,,12.2,11,27942,,17790,101680,1
24035,5.4,577,,,4.8,380,5,2613,103802,10.4,1109,,,10,790,8,4195,121252,112527,7.9,,7.4,6.5,843,,585,3404,1
24037,7.3,1969,,,6.4,1293,6.6,7456,98431,13.7,3713,,,13,2601,10.2,11406,106259,102345,10.5,,9.7,8.4,2841,,1947,9431,3
24039,17.9,757,,,17.7,554,17.5,3500,45660,35.5,1503,,,35.7,1118,28.3,5650,58022,51841,26.7,,26.7,22.9,1130,,836,4575,3
24041,9.4,637,,,8.8,447,7.9,2974,71646,18.4,1247,,,18.2,917,12.3,4580,89096,80371,13.9,,13.5,10.1,942,,682,3777,6
24043,11.5,3764,,,8.6,2085,9.6,14130,66520,19.3,6304,,,16.8,4107,13.4,19838,76850,71685,15.4,,12.7,11.5,5034,,3096,16984,2
24045,14.5,3331,,,13.3,2207,12.7,12892,66535,25.1,5769,,,24.3,4029,18.1,18264,75415,70975,19.8,,18.8,15.4,4550,,3118,15578,3
24047,9.3,851,,,8.7,601,7.8,4171,70150,19.3,1757,,,19.1,1319,12.4,6655,80768,75459,14.3,,13.9,10.1,1304,,960,5413,4
24510,21.6,24800,,,20.5,16660,18.2,99425,55616,30.8,35408,,,30.7,25014,22.2,121097,61616,58616,26.2,,25.6,20.2,30104,,20837,110261,1
25000,12,158086,11.5,38256,11.4,112162,10.2,690897,98449,13.4,177208,13.9,46550,13.2,129724,10.8,729349,101051,99750,12.7,12.7,12.3,10.5,167647,42403,120943,710123,
25001,8.4,2605,,,8.1,1920,7.3,16807,85907,14.6,4559,,,14.5,3440,10.5,23969,92989,89448,11.5,,11.3,8.9,3582,,2680,20388,3
25003,11.9,2315,,,10.4,1527,10.4,12659,69296,21.1,4109,,,19.8,2905,14.6,17873,79774,74535,16.5,,15.1,12.5,3212,,2216,15266,3
25005,16.1,18628,,,15.6,13635,11.6,66177,79038,20.7,24014,,,20.2,17731,13.8,79163,83056,81047,18.4,,17.9,12.7,21321,,15683,72670,1
25007,8,287,,,7.3,194,6.4,1311,84194,15.2,543,,,14.3,384,10.6,2199,103924,94059,11.6,,10.8,8.5,415,,289,1755,7
25009,10.4,17006,,,10.7,13145,8.5,67598,92936,14.6,24056,,,15.1,18469,10.7,85484,99670,96303,12.5,,12.9,9.6,20531,,15807,76541,1
25011,10.7,1211,,,9,779,10.1,7067,67309,18.5,2079,,,17,1463,13.7,9583,75203,71256,14.6,,13,11.9,1645,,1121,8325,4
25013,23.1,21535,,,22.2,15327,16.1,71696,63160,29.7,27625,,,29.2,20227,19.1,85254,71150,67155,26.4,,25.7,17.6,24580,,17777,78475,2
25015,9,1994,,,7.4,1280,10.5,14646,74864,14.4,3188,,,13,2238,14.3,19912,86814,80839,11.7,,10.2,12.4,2591,,1759,17279,3
25017,6.4,19748,,,6.1,14061,7.1,110622,120616,8.8,27406,,,8.7,19907,8.3,131054,125960,123288,7.6,,7.4,7.7,23577,,16984,120838,1
25019,4.5,131,,,4,83,4.9,706,95177,8.7,251,,,8,167,8.1,1164,122165,108671,6.6,,6,6.5,191,,125,935,7
25021,5.3,7661,,,5,5473,6.9,48618,119573,7.9,11465,,,7.8,8471,8.5,60598,127325,123449,6.6,,6.4,7.7,9563,,6972,54608,1
25023,6.5,6915,,,5.9,4730,6.8,35828,103964,10.5,11289,,,10.1,8130,9.2,48346,111692,107828,8.5,,8,8,9102,,6430,42087,1
25025,16.6,19806,,,17.6,14732,13.8,99563,87765,24,28628,,,25.6,21378,16.4,119015,95007,91386,20.3,,21.6,15.1,24217,,18055,109289,1
25027,11.6,20059,,,9.6,12461,9.9,83371,90790,15.2,26179,,,13.6,17629,11.9,99961,96332,93561,13.4,,11.6,10.9,23119,,15045,91666,2
26000,16.9,350169,16.9,87339,16.1,249328,13.3,1300052,68410,18.1,374807,19.1,98511,17.5,271066,13.7,1344432,69784,69097,17.5,18,16.8,13.5,362488,92925,260197,1322242,
26001,18.1,239,,,17.2,161,13.3,1379,48071,33.1,435,,,33.6,313,18.3,1903,57995,53033,25.6,,25.4,15.8,337,,237,1641,9
26003,11.5,144,,,10.8,100,10.2,801,58223,20.5,258,,,20.4,188,15.6,1229,66863,62543,16,,15.6,12.9,201,,144,1015,9
26005,9.6,2622,,,8.3,1733,8.3,10098,75383,14.8,4064,,,13.7,2849,11.5,13876,82161,78772,12.2,,11,9.9,3343,,2291,11987,4
26007,14.1,749,,,12.9,505,13.4,3830,48778,25.1,1331,,,24.1,945,18.4,5242,58182,53480,19.6,,18.5,15.9,1040,,725,4536,7
26009,10.8,430,,,10.2,304,8,1932,66174,20.6,824,,,20.4,606,12.2,2976,78564,72369,15.7,,15.3,10.1,627,,455,2454,8
26011,16.2,445,,,14.6,302,11.8,1781,52460,29.4,811,,,28.6,588,18.2,2737,59966,56213,22.8,,21.6,15,628,,445,2259,8
26013,13.2,185,,,11.6,118,12.5,925,48914,25,351,,,24.2,246,18.7,1389,62798,55856,19.1,,17.9,15.6,268,,182,1157,9
26015,7.4,998,,,6.7,681,6.6,4124,69218,13.8,1878,,,13.1,1343,10,6334,81536,75377,10.6,,9.9,8.3,1438,,1012,5229,1
26017,11.5,2214,,,10.5,1536,10.9,11000,54958,20.7,4000,,,20.1,2932,14.7,14932,64088,59523,16.1,,15.3,12.8,3107,,2234,12966,3
26019,9.6,294,,,9.1,206,7.8,1410,60165,18.6,568,,,18.1,412,11.6,2120,71023,65594,14.1,,13.6,9.7,431,,309,1765,3
26021,11.9,3783,,,11.3,2669,11.5,17167,59980,22.1,6973,,,21.9,5147,15.7,23481,65536,62758,17,,16.6,13.6,5378,,3908,20324,3
26023,15.6,1604,,,15.1,1120,12.5,5403,52913,25.2,2596,,,24.7,1838,17.3,7513,62369,57641,20.4,,19.9,14.9,2100,,1479,6458,6
26025,14,4107,,,8.8,1910,11.6,15176,54512,24.8,7273,,,18.8,4076,16.4,21528,62722,58617,19.4,,13.8,14,5690,,2993,18352,3
26027,12.3,1245,,,11.6,899,10,5080,62107,21.1,2139,,,20.6,1593,14.6,7432,75333,68720,16.7,,16.1,12.3,1692,,1246,6256,2
26029,9.1,408,,,8.1,272,7.2,1861,75658,16.9,752,,,16.1,540,11,2865,81152,78405,13,,12.1,9.1,580,,406,2363,7
26031,16.5,637,,,14.8,429,11.3,2918,57927,29.3,1137,,,28.2,815,16.7,4328,65049,61488,22.9,,21.5,14,887,,622,3623,7
26033,12.8,816,,,11.1,529,10.9,3496,56517,22.2,1418,,,20.5,985,16.3,5232,63187,59852,17.5,,15.8,13.6,1117,,757,4364,7
26035,21.1,1256,,,20.1,882,18,5568,44029,36.5,2174,,,36.1,1580,24.2,7470,51557,47793,28.8,,28.1,21.1,1715,,1231,6519,8
26037,5.1,836,,,4.8,593,5.7,4499,86151,9.5,1570,,,9.2,1157,8.3,6505,97671,91911,7.3,,7,7,1203,,875,5502,2
26039,14.8,339,,,13.2,225,10.9,1451,54786,29,665,,,27.6,471,17.1,2291,63654,59220,21.9,,20.4,14,502,,348,1871,9
26041,12.3,842,,,10.6,550,11.8,4261,52104,21.3,1452,,,19.6,1018,16.4,5957,64040,58072,16.8,,15.1,14.1,1147,,784,5109,5
26043,10,505,,,8.6,327,9.4,2426,54590,18.8,949,,,17.6,673,14.2,3652,68818,61704,14.4,,13.1,11.8,727,,500,3039,7
26045,8.8,1906,,,7.6,1225,8.7,9287,68140,15.2,3310,,,14.4,2339,11.5,12289,78120,73130,12,,11,10.1,2608,,1782,10788,2
26047,7.3,441,,,7.1,325,7.6,2572,70971,13.9,829,,,13.5,617,11.2,3774,83613,77292,10.6,,10.3,9.4,635,,471,3173,7
26049,20.9,18052,,,20.1,13020,16.3,64665,57680,28.7,24788,,,28.1,18136,19.5,77125,62704,60192,24.8,,24.1,17.9,21420,,15578,70895,2
26051,15,726,,,14.7,526,11.4,2925,47991,29.2,1412,,,29.5,1056,17,4345,54799,51395,22.1,,22.1,14.2,1069,,791,3635,8
26053,18.1,410,,,16.6,288,13.5,1887,43689,34.1,770,,,32.4,560,21.1,2935,52397,48043,26.1,,24.5,17.3,590,,424,2411,7
26055,6.4,1151,,,5.7,772,5.8,5515,79095,11.8,2139,,,11.1,1518,9,8603,86553,82824,9.1,,8.4,7.4,1645,,1145,7059,3
26057,14.6,1137,,,12.9,755,13.4,4765,54752,24.2,1885,,,23.1,1343,19.2,6829,65750,60251,19.4,,18,16.3,1511,,1049,5797,6
26059,13.6,1301,,,12,868,12.5,5535,53079,24.2,2331,,,22.6,1628,17.1,7555,64273,58676,18.9,,17.3,14.8,1816,,1248,6545,6
26061,10.4,753,,,8.6,466,14.5,4912,53518,17.6,1279,,,15.8,852,19.7,6646,58630,56074,14,,12.2,17.1,1016,,659,5779,5
26063,13.6,778,,,11.7,510,12,3685,54028,22.6,1296,,,21.5,932,16.6,5069,64610,59319,18.1,,16.6,14.3,1037,,721,4377,9
26065,12.1,6526,,,10.3,4097,14.3,37954,60295,21.3,11482,,,19.7,7813,18.1,47968,66671,63483,16.7,,15,16.2,9004,,5955,42961,2
26067,11.3,1516,,,9.8,984,11.2,6760,64811,18.3,2468,,,17,1708,15.4,9284,75543,70177,14.8,,13.4,13.3,1992,,1346,8022,1
26069,20.6,865,,,19.1,596,16.1,4051,48276,33.8,1425,,,32.3,1008,21.5,5389,57192,52734,27.2,,25.7,18.8,1145,,802,4720,7
26071,18.7,366,,,16.1,251,15,1731,43044,32.3,630,,,29.1,453,20.8,2389,55230,49137,25.5,,22.6,17.9,498,,352,2060,9
26073,12,1346,,,9.9,819,18.3,10960,48382,20.6,2298,,,19.1,1571,23.7,14232,58044,53213,16.3,,14.5,21,1822,,1195,12596,4
26075,15.1,4875,,,14.9,3576,12.2,18247,60443,22.7,7325,,,22.1,5284,15.2,22853,67697,64070,18.9,,18.5,13.7,6100,,4430,20550,3
26077,11.3,6158,,,9.8,3969,11.5,29319,64896,17.7,9614,,,16.8,6821,14.5,36901,70446,67671,14.5,,13.3,13,7886,,5395,33110,2
26079,15,532,,,13.1,347,11.6,2105,54453,25.8,920,,,24.5,649,16.4,2991,66367,60410,20.4,,18.8,14,726,,498,2548,3
