fips_code,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023
1061,19.4,1131,,,16.6,736,15.3,4071,44378,34.6,2019,,,32.4,1436,23.1,6147,55634,50006,27,,24.5,19.2,1575,,1086,5109,3
1063,32.3,508,,,32.4,366,23.9,1742,30256,61.3,962,,,63.6,720,38.1,2768,38982,34619,46.8,,48,31,735,,543,2255,2
1065,22.4,805,,,21.6,568,17.9,2636,38849,42,1513,,,41.8,1096,28.1,4130,45911,42380,32.2,,31.7,23,1159,,832,3383,2
1067,15.5,559,,,14.7,406,12.7,2254,49721,29.9,1081,,,29.5,808,20.1,3554,61475,55598,22.7,,22.1,16.4,820,,607,2904,3
1069,20.7,5039,,,18.6,3295,14.9,15964,56210,28.5,6925,,,26.8,4753,18.1,19450,62614,59412,24.6,,22.7,16.5,5982,,4024,17707,3
1071,14.3,1566,,,13.4,1079,13.5,7113,48245,24.1,2632,,,24.2,1947,18.5,9761,54713,51479,19.2,,18.8,16,2099,,1513,8437,6
1073,18.4,27297,,,18.2,19919,14.5,93558,61862,24.6,36523,,,24.6,26959,17.5,112682,67590,64726,21.5,,21.4,16,31910,,23439,103120,1
1075,16,476,,,14.7,320,12.5,1691,44791,30,894,,,29.7,644,20.3,2743,57067,50929,23,,22.2,16.4,685,,482,2217,8
1077,11.4,2084,,,11,1483,10.8,10012,59600,22.2,4042,,,22.2,3003,16.4,15114,68190,63895,16.8,,16.6,13.6,3063,,2243,12563,3
1079,13.2,951,,,12.4,667,11,3642,55014,25.2,1817,,,25.2,1355,17.4,5778,67114,61064,19.2,,18.8,14.2,1384,,1011,4710,3
1081,10.8,4076,,,9.8,2754,16.2,28753,57268,19,7144,,,18.2,5086,19.6,34925,67334,62301,14.9,,14,17.9,5610,,3920,31839,3
1083,8,1974,,,7,1289,6.8,7604,77874,14.6,3616,,,13.6,2525,10.4,11604,85748,81811,11.3,,10.3,8.6,2795,,1907,9604,2
1085,30.1,639,,,31.8,488,23.7,2257,36781,54.1,1149,,,57.6,884,35.1,3341,47241,42011,42.1,,44.7,29.4,894,,686,2799,2
1087,28,829,,,27.2,581,22,3605,36252,53.2,1573,,,54.8,1171,35.6,5819,45168,40710,40.6,,41,28.8,1201,,876,4712,3
1089,10.6,9275,,,10.7,6863,9.1,36343,82954,16.4,14311,,,16.3,10529,11.9,47623,89390,86172,13.5,,13.5,10.5,11793,,8696,41983,2
1091,23.2,960,,,20.5,635,18.9,3478,41172,43,1778,,,41.3,1277,28.1,5192,53284,47228,33.1,,30.9,23.5,1369,,956,4335,6
1093,18,1085,,,15.8,702,15.6,4457,43293,30.6,1843,,,29.2,1298,22.4,6373,54365,48829,24.3,,22.5,19,1464,,1000,5415,9
1095,16.9,4346,,,14.8,2728,14.3,14276,55549,26.1,6686,,,25.2,4620,18.7,18588,64215,59882,21.5,,20,16.5,5516,,3674,16432,4
1097,20.4,19136,,,19.5,13322,14.4,58161,52899,29.2,27476,,,28.7,19542,18.2,73207,58177,55538,24.8,,24.1,16.3,23306,,16432,65684,2
1099,18.2,727,,,17.3,509,14.6,2777,43688,37.6,1499,,,38.1,1119,23.6,4477,54940,49314,27.9,,27.7,19.1,1113,,814,3627,8
11000,17.4,21852,18.5,6955,15.5,13544,14.1,91948,100688,24,30060,24.1,9057,24.3,21230,16.3,105674,108598,104643,20.7,21.3,19.9,15.2,25956,8006,17387,98811,
11001,17.4,21852,,,15.5,13544,14.1,91948,100688,24,30060,,,24.3,21230,16.3,105674,108598,104643,20.7,,19.9,15.2,25956,,17387,98811,1
1101,20.8,11046,,,18.7,7172,15.9,34121,56591,31.2,16594,,,30.3,11608,20.7,44669,63535,60063,26,,24.5,18.3,13820,,9390,39395,2
1103,11.7,3340,,,11.3,2401,9.5,11718,64678,21.9,6258,,,21.7,4593,14.5,17800,76096,70387,16.8,,16.5,12,4799,,3497,14759,3
1105,35.2,576,,,36.4,433,26.4,1951,29744,65.4,1070,,,69.6,827,41.2,3051,38608,34176,50.3,,53,33.8,823,,630,2501,8
1107,20.5,710,,,19.8,513,16.2,2697,41270,40.1,1388,,,40.6,1049,26.8,4477,53474,47372,30.3,,30.2,21.5,1049,,781,3587,2
1109,24.7,1578,,,28.1,1289,19.7,6106,45473,40.3,2568,,,43.3,1991,27.9,8622,55877,50675,32.5,,35.7,23.8,2073,,1640,7364,6
