fips_code,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023,Unemployed_2023,Unemployment_rate_2023
12131,35464,34477,1,2,987,2.8
12133,9859,9535,1,3,324,3.3
13000,5305623,5135833,,,169790,3.2
13001,9663,9338,0,7,325,3.4
13003,4268,4136,0,9,132,3.1
13005,5043,4895,0,9,148,2.9
13007,1082,1041,0,8,41,3.8
13009,17399,16674,0,4,725,4.2
13011,11496,11244,0,8,252,2.2
13013,43748,42540,1,1,1208,2.8
13015,53059,51426,1,1,1633,3.1
13017,5665,5420,0,7,245,4.3
13019,7787,7500,0,8,287,3.7
13021,64817,62251,1,3,2566,4
13023,4762,4562,0,6,200,4.2
13025,7561,7298,1,3,263,3.5
13027,6598,6374,1,3,224,3.4
13029,20414,19876,1,2,538,2.6
13031,39023,37715,0,4,1308,3.4
13033,9003,8506,1,2,497,5.5
13035,11492,11154,1,1,338,2.9
13037,2306,2242,0,8,64,2.8
13039,22531,21849,0,4,682,3
13043,6002,5854,0,9,148,2.5
13045,58101,56195,1,1,1906,3.3
13047,34497,33577,1,2,920,2.7
13049,5069,4913,0,8,156,3.1
13051,146009,141723,1,2,4286,2.9
13053,1889,1804,1,2,85,4.5
13055,9382,9036,0,6,346,3.7
13057,144992,141264,1,1,3728,2.6
13059,59574,57598,1,3,1976,3.3
13061,799,737,0,9,62,7.8
13063,142329,136499,1,1,5830,4.1
13065,3075,2988,0,8,87,2.8
13067,438388,426016,1,1,12372,2.8
13069,18822,18144,0,7,678,3.6
13071,21839,21218,0,6,621,2.8
13073,76003,73722,1,2,2281,3
13075,8293,8027,0,6,266,3.2
13077,78953,76649,1,1,2304,2.9
13079,5296,5125,1,3,171,3.2
13081,9873,9509,0,6,364,3.7
13083,8274,8059,1,2,215,2.6
13085,13601,13245,1,1,356,2.6
13087,11465,11071,0,6,394,3.4
13089,411541,397898,1,1,13643,3.3
13091,7101,6829,0,7,272,3.8
13093,4543,4369,0,8,174,3.8
13095,36062,34517,1,3,1545,4.3
13097,76306,73677,1,1,2629,3.4
13099,4003,3848,0,8,155,3.9
13101,1831,1779,1,3,52,2.8
13103,34131,33246,1,2,885,2.6
13105,8181,7888,0,6,293,3.6
13107,8849,8477,0,7,372,4.2
13109,4926,4783,0,8,143,2.9
13111,12179,11836,0,8,343,2.8
13113,60597,58798,1,1,1799,3
13115,46724,45250,1,3,1474,3.2
13117,132233,128872,1,1,3361,2.5
13119,9910,9590,0,8,320,3.2
13121,584831,564799,1,1,20032,3.4
13123,12780,12386,0,6,394,3.1
13125,1237,1195,0,9,42,3.4
13127,40744,39585,1,3,1159,2.8
13129,29080,28219,0,4,861,3
13131,10846,10514,0,6,332,3.1
13133,7583,7331,0,8,252,3.3
13135,508851,494269,1,1,14582,2.9
13137,19415,18809,0,6,606,3.1
13139,111456,108770,1,3,2686,2.4
13141,2450,2316,0,9,134,5.5
13143,13218,12794,1,1,424,3.2
13145,16719,16247,1,2,472,2.8
13147,12724,12350,0,6,374,2.9
13149,5392,5227,1,1,165,3.1
13151,122673,118431,1,1,4242,3.5
13153,71134,69062,1,3,2072,2.9
13155,3496,3358,0,9,138,3.9
13157,49206,48186,0,4,1020,2.1
13159,7298,7089,1,1,209,2.9
13161,6109,5848,0,9,261,4.3
13163,6686,6418,0,8,268,4
13165,3335,3169,0,9,166,5
13167,4112,3993,0,9,119,2.9
13169,13166,12760,1,3,406,3.1
13171,8505,8220,0,6,285,3.4
13173,3765,3621,1,3,144,3.8
13175,19791,18980,0,4,811,4.1
13177,14879,14455,1,3,424,2.8
13179,26226,25365,1,3,861,3.3
13181,3496,3363,1,2,133,3.8
13183,8463,8191,1,3,272,3.2
13185,50299,48548,1,3,1751,3.5
13187,18091,17610,1,1,481,2.7
13189,8436,8026,1,2,410,4.9
13191,6333,6140,1,3,193,3
13193,4556,4363,0,8,193,4.2
13195,13727,13329,1,3,398,2.9
13197,3225,3108,1,2,117,3.6
13199,9088,8736,1,1,352,3.9
13201,2824,2749,0,9,75,2.7
13205,8037,7737,0,6,300,3.7
13207,12646,12274,1,3,372,2.9
13209,3869,3719,0,9,150,3.9
13211,9789,9514,1,1,275,2.8
13213,15498,14862,1,3,636,4.1
13215,75177,71999,1,2,3178,4.2
13217,55216,53114,1,1,2102,3.8
13219,20561,20061,1,3,500,2.4
13221,7074,6874,1,3,200,2.8
13223,92858,90198,1,1,2660,2.9
13225,11898,11441,1,3,457,3.8
13227,16160,15716,1,1,444,2.7
13229,8470,8211,0,8,259,3.1
13231,9315,9061,1,1,254,2.7
13233,18958,18328,0,4,630,3.3
13235,4020,3879,0,8,141,3.5
13237,8899,8561,0,8,338,3.8
13239,726,688,0,8,38,5.2
13241,7832,7597,0,9,235,3
13243,2344,2245,0,8,99,4.2
13245,82954,79146,1,2,3808,4.6
13247,45979,44267,1,1,1712,3.7
13249,2139,2069,0,8,70,3.3
13251,4919,4664,0,8,255,5.2
13253,3074,2958,0,8,116,3.8
13255,29805,28734,1,1,1071,3.6
13257,10409,10032,0,7,377,3.6
13259,2705,2616,1,2,89,3.3
13261,12244,11690,0,6,554,4.5
13263,2831,2738,1,2,93,3.3
13265,554,533,0,8,21,3.8
13267,9343,9046,0,8,297,3.2
13269,2717,2603,0,8,114,4.2
13271,3373,3152,0,9,221,6.6
13273,3438,3285,1,3,153,4.5
13275,17428,16811,0,4,617,3.5
13277,20929,20326,0,5,603,2.9
13279,12152,11693,0,7,459,3.8
13281,4121,3949,0,9,172,4.2
13283,2671,2557,0,9,114,4.3
13285,37855,36784,0,4,1071,2.8
13287,3265,3135,0,9,130,4
13289,2696,2564,1,3,132,4.9
13291,11447,11131,0,8,316,2.8
13293,11634,11232,0,6,402,3.5
13295,32199,31247,1,2,952,3
13297,48730,47291,1,1,1439,3
13299,15092,14590,0,5,502,3.3
13301,2764,2651,0,8,113,4.1
13303,7078,6782,0,7,296,4.2
13305,11959,11565,0,6,394,3.3
13307,987,951,0,8,36,3.6
13309,1627,1536,0,9,91,5.6
13311,17499,17096,0,8,403,2.3
13313,43550,41866,1,3,1684,3.9
13315,2702,2607,0,9,95,3.5
13317,3781,3640,0,8,141,3.7
13319,3391,3262,0,8,129,3.8
13321,8642,8362,1,3,280,3.2
15000,676355,656336,,,20019,3
15001,95112,92251,0,5,2861,3
15003,457540,445151,1,1,12389,2.7
15007,36863,35910,0,5,953,2.6
15009,86842,83025,1,3,3817,4.4
16000,961506,931748,,,29758,3.1
16001,286174,278326,1,2,7848,2.7
16003,1868,1755,0,9,113,6
16005,44267,42897,1,3,1370,3.1
16007,2920,2837,0,9,83,2.8
16009,4263,4049,0,8,214,5
16011,23849,23118,0,6,731,3.1
16013,13823,13450,0,7,373,2.7
16015,4077,3905,1,2,172,4.2
16017,22417,21443,0,6,974,4.3
16019,65279,63581,1,3,1698,2.6
16021,5517,5260,0,9,257,4.7
16023,1196,1149,1,3,47,3.9
16025,561,543,0,9,18,3.2
16027,116741,112767,1,2,3974,3.4
16029,3677,3563,0,8,114,3.1
16031,12340,12014,0,6,326,2.6
16033,474,459,0,8,15,3.2
16035,3431,3236,0,8,195,5.7
16037,2017,1941,0,8,76,3.8
16039,12575,12165,0,6,410,3.3
16041,7105,6914,1,3,191,2.7
16043,7884,7681,0,8,203,2.6
16045,8774,8442,1,2,332,3.8
16047,8159,7913,0,8,246,3
16049,7410,7113,0,8,297,4
16051,15546,15148,1,3,398,2.6
16053,11904,11537,1,3,367,3.1
16055,87778,84596,1,3,3182,3.6
16057,20715,20157,0,4,558,2.7
16059,4072,3918,0,9,154,3.8
16061,1663,1606,0,8,57,3.4
16063,2509,2411,0,8,98,3.9
16065,24051,23528,0,4,523,2.2
16067,11987,11660,0,7,327,2.7
16069,21717,21114,1,3,603,2.8
16071,2427,2354,0,8,73,3
16073,5585,5369,1,2,216,3.9
16075,11581,11139,0,6,442,3.8
16077,4031,3877,0,8,154,3.8
16079,5779,5478,0,8,301,5.2
16081,7931,7749,0,9,182,2.3
16083,44482,43057,1,3,1425,3.2
16085,6380,6144,0,9,236,3.7
16087,4573,4389,0,6,184,4
17000,6437855,6150672,,,287183,4.5
17001,30918,29796,0,5,1122,3.6
17003,1811,1697,1,3,114,6.3
17005,7573,7252,1,1,321,4.2
17007,24945,23187,1,2,1758,7
17009,3095,3022,0,9,73,2.4
17011,15776,14878,0,7,898,5.7
17013,2197,2104,1,1,93,4.2
17015,7234,6917,0,9,317,4.4
17017,5801,5547,0,6,254,4.4
17019,111823,107193,1,3,4630,4.1
17021,13545,12860,0,6,685,5.1
17023,7274,6937,0,8,337,4.6
17025,5765,5458,0,9,307,5.3
17027,20138,19483,1,1,655,3.3
17029,22868,21858,0,5,1010,4.4
17031,2651912,2534647,1,1,117265,4.4
17033,8541,8198,0,6,343,4
17035,6017,5809,0,9,208,3.5
17037,54336,51794,1,1,2542,4.7
17039,7511,7184,0,6,327,4.4
17041,10228,9858,0,8,370,3.6
17043,519060,501563,1,1,17497,3.4
17045,9022,8686,0,6,336,3.7
17047,2570,2450,0,9,120,4.7
17049,19570,18935,0,7,635,3.2
17051,9723,9247,0,6,476,4.9
17053,6446,6164,1,3,282,4.4
17055,15856,14987,0,7,869,5.5
17057,14571,13793,0,6,778,5.3
17059,2044,1933,0,8,111,5.4
